Event,Player,Team,Outcome,X,Y,endX,endY
Pass,89401,13,Unsuccessful,43.5,90.2,61.7,100
Pass,89401,13,Successful,33.9,76.7,28.3,41
Pass,89401,13,Successful,45.3,66.3,42.4,40.6
Pass,89401,13,Successful,70.2,94.2,74.5,76.3
Pass,89401,13,Successful,40.1,87.2,43.5,94.8
Pass,89401,13,Successful,57.6,87.7,65.3,95.1
Pass,89401,13,Successful,29.6,73.3,35.3,92.7
Pass,89401,13,Successful,32.3,74.7,20.2,73.8
Pass,89401,13,Successful,39.2,46.3,70,43.1
Pass,89401,13,Successful,30.1,51.2,22.2,20.1
Pass,89401,13,Successful,28.3,45.4,23.1,5.5
Pass,89401,13,Unsuccessful,38.5,61.5,56.8,83.3
Pass,89401,13,Successful,59.2,75.4,67.5,63.4
Pass,89401,13,Successful,51.7,63.1,43.8,89
Pass,89401,13,Successful,55.7,64.5,69.9,45.4
Pass,89401,13,Successful,64.9,81.5,70.6,96.6
Pass,89401,13,Successful,67.3,85.3,71.7,77.6
Pass,89401,13,Successful,56.1,96.6,34.6,89.7
Pass,89401,13,Successful,63.9,86.9,46.2,92.9
Pass,89401,13,Successful,45.9,67.9,61.7,98.4
Pass,89401,13,Successful,39.9,96.8,27.8,86.2
Pass,89401,13,Successful,45.8,61.4,34.1,54.8
Pass,89401,13,Successful,67.8,76.0,56.4,49.7
Pass,89401,13,Successful,53.4,67.2,41.2,71.7
Pass,89401,13,Successful,44.2,90.8,34.3,84.5
Pass,89401,13,Successful,41.2,91.2,30.8,77.9
Pass,89401,13,Successful,36.8,92.7,36.8,72.7
Pass,89401,13,Unsuccessful,41.5,86.6,33.8,100
Pass,89401,13,Successful,30.2,44.8,24.5,36.9
Pass,89401,13,Successful,33.8,43.1,26.3,63.1
Pass,89401,13,Successful,26.9,89.9,13.9,94.8
BallTouch,89401,13,Successful,43.1,85.0,,
Pass,89401,13,Successful,33.0,26.8,45.4,33.3
Pass,89401,13,Successful,30.4,80.3,49.6,72.7
Pass,89401,13,Successful,42.4,66.0,41.5,98
Error,89401,13,Successful,3.6,61.8,,
Pass,89401,13,Unsuccessful,99.6,0.5,100,70
Pass,89401,13,Unsuccessful,39.3,85.9,66.3,90.5
Pass,89401,13,Successful,29.3,92.4,26.2,87.7
Pass,89401,13,Successful,48.2,85.7,59.3,88.6
Pass,89401,13,Unsuccessful,54.3,46.0,86.1,63.7
Pass,89401,13,Successful,48.4,70.8,54.2,85.1
Pass,89401,13,Unsuccessful,35.1,84.2,41.7,84.8
