Event,Player,Team,Outcome,X,Y,endX,endY
Pass,89401,13,Successful,56.4,80.6,63.1,83.5
Pass,89401,13,Successful,54.5,86.6,37.7,62.9
Pass,89401,13,Successful,61.8,73.2,44.9,83
Pass,89401,13,Successful,55.8,69.1,48.4,60.8
Pass,89401,13,Successful,47.0,37.7,15.6,41.2
Pass,89401,13,Unsuccessful,44.7,88.8,85.3,93.6
Pass,89401,13,Successful,54.2,79.6,57.9,97.1
Pass,89401,13,Successful,42.9,64.1,35.6,37.5
Pass,89401,13,Successful,37.8,49.1,47.4,78.7
Pass,89401,13,Successful,56.0,81.8,45.8,45.4
Pass,89401,13,Successful,47.2,90.0,46.2,98
Pass,89401,13,Successful,56.3,81.1,57.8,71.4
Pass,89401,13,Successful,34.4,54.8,58.2,92.3
Pass,89401,13,Successful,64.7,95.9,48.1,92.6
Pass,89401,13,Successful,56.5,83.9,62.9,96
Pass,89401,13,Successful,32.7,75.9,37.4,69
Pass,89401,13,Successful,39.2,66.9,39.6,31.6
Pass,89401,13,Successful,35.6,67.0,32.8,34.9
Pass,89401,13,Successful,25.1,59.0,22.8,77.5
Pass,89401,13,Successful,43.9,55.8,61.3,72.3
Pass,89401,13,Successful,51.7,69.9,47.2,38
Pass,89401,13,Unsuccessful,43.6,88.6,84.5,52.7
Pass,89401,13,Successful,41.5,52.4,56.4,49.7
Error,89401,13,Successful,38.3,90.9,,
Pass,89401,13,Successful,42.9,69.0,40.4,33.1
Pass,89401,13,Successful,57.5,69.3,49.5,39.8
Pass,89401,13,Successful,44.8,92.9,44.9,98
Pass,89401,13,Successful,46.0,95.7,38.8,72.9
Pass,89401,13,Successful,63.6,41.5,67,29.1
Pass,89401,13,Successful,61.1,100.0,56.7,94.2
Pass,89401,13,Successful,62.0,74.8,57.6,64.5
Pass,89401,13,Successful,53.1,64.8,43.3,72.1
Pass,89401,13,Successful,49.2,64.8,44.4,34.9
Pass,89401,13,Successful,55.0,49.9,62.9,6.7
Pass,89401,13,Successful,67.2,28.5,64.7,20.1
Pass,89401,13,Successful,35.2,70.9,49.2,66.4
Pass,89401,13,Successful,72.0,93.5,82.1,88.1
Pass,89401,13,Unsuccessful,84.3,76.7,91.3,60.4
Pass,89401,13,Unsuccessful,38.8,60.2,79.1,64.5
