Event,Player,Team,Outcome,X,Y,endX,endY
Pass,89401,13,Successful,39.6,51.9,44.8,90
Pass,89401,13,Successful,45.6,67.5,62.7,69.6
Pass,89401,13,Unsuccessful,27.5,78.8,46.4,70.2
BallTouch,89401,13,Successful,20.0,66.1,,
Pass,89401,13,Successful,34.4,90.8,26.2,69.6
Pass,89401,13,Successful,56.0,79.4,63.8,93.5
Pass,89401,13,Successful,58.5,92.0,44.7,73.6
Pass,89401,13,Successful,64.3,91.4,71.9,95.7
Pass,89401,13,Successful,62.0,78.2,48.6,73.8
Pass,89401,13,Successful,59.5,93.0,64.8,72.3
Pass,89401,13,Successful,45.3,77.6,53.2,94.8
Pass,89401,13,Successful,56.8,80.6,45.6,51.9
Pass,89401,13,Successful,52.6,45.2,57.4,74.7
Pass,89401,13,Successful,56.8,77.7,46.7,84.7
Pass,89401,13,Unsuccessful,28.1,64.0,35.1,64
Pass,89401,13,Successful,54.6,89.3,61.3,96.2
Pass,89401,13,Unsuccessful,47.4,63.0,53.1,29.4
Pass,89401,13,Unsuccessful,33.6,93.1,48.1,79.3
Pass,89401,13,Successful,32.5,68.1,33.7,49.3
Pass,89401,13,Successful,45.7,88.2,89,73.8
Pass,89401,13,Successful,61.2,76.3,67.7,75.4
Pass,89401,13,Successful,63.1,77.5,51.4,84.2
Pass,89401,13,Successful,43.4,39.8,53.2,79.7
Pass,89401,13,Successful,59.4,73.3,68.7,72.7
Pass,89401,13,Successful,15.0,56.6,7.8,66.4
Pass,89401,13,Successful,11.5,92.7,4.7,97.5
Pass,89401,13,Successful,62.5,52.8,71.3,58.4
Pass,89401,13,Unsuccessful,36.0,66.7,35.2,77
Pass,89401,13,Successful,32.6,75.1,42.3,81.5
Pass,89401,13,Successful,51.7,43.4,28,43.1
Pass,89401,13,Successful,58.5,79.3,69,92.9
Pass,89401,13,Successful,67.5,70.6,54.3,57.5
Pass,89401,13,Successful,35.1,86.6,36.9,97.1
Pass,89401,13,Successful,35.4,85.1,42.4,95.7
Pass,89401,13,Successful,72.5,92.0,79.7,96.6
Pass,89401,13,Successful,56.7,79.6,52.8,92.7
Pass,89401,13,Successful,45.8,68.5,36.7,29.7
Pass,89401,13,Unsuccessful,41.2,82.4,63.2,71.1
Pass,89401,13,Successful,23.2,40.0,4.4,49.9
Pass,89401,13,Successful,28.0,63.7,26.4,50.1
Pass,89401,13,Successful,64.8,50.9,74.5,20.7
Pass,89401,13,Unsuccessful,58.1,19.1,87.9,70.2
Pass,89401,13,Successful,31.1,44.5,38.7,67.3
Pass,89401,13,Successful,67.1,65.8,59.1,38
Pass,89401,13,Successful,60.2,69.7,70.8,91.8
Pass,89401,13,Successful,66.5,57.8,74.8,78.7
Pass,89401,13,Successful,62.3,69.0,71.6,77
Pass,89401,13,Successful,52.9,90.2,59,72.9
Pass,89401,13,Successful,43.2,78.4,54.5,54.8
Pass,89401,13,Successful,44.4,85.0,42.1,93.9
BallTouch,89401,13,Unsuccessful,28.5,39.4,,
Pass,89401,13,Successful,37.5,65.7,46.2,45.5
Pass,89401,13,Successful,65.9,10.9,66.8,4.4
Pass,89401,13,Successful,58.6,13.4,38.1,2.9
Pass,89401,13,Successful,38.0,80.0,37.1,93
Pass,89401,13,Successful,54.3,92.9,86.6,68.5
Pass,89401,13,Successful,28.4,65.4,29,88.1
Pass,89401,13,Successful,31.3,74.5,28.3,87.5
Pass,89401,13,Unsuccessful,35.1,70.5,48.3,54.6
Pass,89401,13,Successful,56.7,81.6,92.2,88
Pass,89401,13,Successful,69.7,90.5,84.1,83.2
Pass,89401,13,Successful,36.0,58.8,45.4,34.2
Pass,89401,13,Successful,35.7,70.3,46.4,88
Pass,89401,13,Successful,45.9,49.1,32.3,41.6
Pass,89401,13,Successful,28.7,44.3,4.1,50.1
Pass,89401,13,Successful,44.3,54.2,49.6,86.3
Pass,89401,13,Unsuccessful,46.5,59.4,81.6,83
Pass,89401,13,Unsuccessful,73.4,94.8,76,90.8
Pass,89401,13,Unsuccessful,45.7,34.0,89.8,26.2
BallTouch,89401,13,Successful,58.6,22.2,,
Pass,89401,13,Unsuccessful,19.9,86.0,45.1,76.7
Pass,89401,13,Successful,28.7,71.1,37.1,94.4
Pass,89401,13,Successful,30.1,66.4,21.9,41.3
Pass,89401,13,Successful,61.8,78.1,43.8,45.7
Pass,89401,13,Successful,30.8,91.4,46.9,89
Pass,89401,13,Successful,33.5,53.1,47.4,77.3
Pass,89401,13,Successful,55.0,57.9,62.6,34.3
Pass,89401,13,Successful,44.8,55.7,47.9,51
Pass,89401,13,Successful,54.4,75.9,63.7,83.2
Pass,89401,13,Successful,61.9,76.7,70.7,91.4
Pass,89401,13,Successful,42.8,65.2,56.5,80.2
Pass,89401,13,Successful,40.7,62.1,44.8,44
Pass,89401,13,Successful,65.8,72.0,76.3,79.7
Pass,89401,13,Successful,67.4,82.4,75,93.2
Pass,89401,13,Successful,69.4,80.9,74.7,95.7
BallTouch,89401,13,Successful,44.7,44.2,,
Pass,89401,13,Successful,35.6,66.0,51.3,56
Pass,89401,13,Unsuccessful,65.6,96.2,100,90.9
