Event,Player,Team,Outcome,X,Y,endX,endY
Pass,89401,13,Successful,70.7,22.4,77.2,22.4
Pass,89401,13,Successful,15.8,26.4,30.4,70.8
Pass,89401,13,Successful,56.3,70.5,60.3,91.2
Pass,89401,13,Successful,72.7,53.0,80.6,84.7
Pass,89401,13,Successful,54.5,51.0,25.5,47.5
Pass,89401,13,Successful,32.1,44.0,37.6,76.4
Pass,89401,13,Successful,46.9,17.1,36.8,20.9
Pass,89401,13,Successful,59.2,79.7,63.8,93.2
Pass,89401,13,Successful,28.1,29.4,35,64.6
Pass,89401,13,Successful,32.6,45.7,42.2,58.8
Pass,89401,13,Unsuccessful,39.6,56.1,100,77.2
Pass,89401,13,Successful,19.3,42.4,8.2,71.8
Pass,89401,13,Successful,37.5,56.7,59.3,5.9
Pass,89401,13,Successful,62.3,45.4,89.7,17.7
Pass,89401,13,Successful,73.1,62.1,87,92.9
Pass,89401,13,Successful,72.0,63.9,53.6,60.9
Pass,89401,13,Successful,68.8,6.2,52.6,1.9
Pass,89401,13,Successful,41.5,23.7,45.5,43.9
Pass,89401,13,Successful,37.0,48.7,39.2,67.4
Pass,89401,13,Successful,60.1,28.6,71.3,77
Pass,89401,13,Successful,19.7,25.6,6.8,11
Pass,89401,13,Successful,31.8,67.8,40.8,88.9
Pass,89401,13,Successful,34.2,66.7,29.8,82.9
Pass,89401,13,Unsuccessful,75.4,40.3,82.8,71.4
Pass,89401,13,Successful,15.2,20.0,32.9,7.3
BallTouch,89401,13,Unsuccessful,9.2,30.9,,
Pass,89401,13,Successful,35.1,42.1,41.7,85
Pass,89401,13,Successful,52.3,73.3,45,91.7
Pass,89401,13,Successful,62.5,57.2,67.4,75.1
Pass,89401,13,Successful,37.2,41.3,45.8,45.5
Pass,89401,13,Successful,24.0,61.8,28.6,76.3
Pass,89401,13,Successful,39.7,47.9,42.8,5.6
Pass,89401,13,Successful,59.5,28.0,68.6,2
Pass,89401,13,Successful,62.2,35.2,75.1,86.8
Pass,89401,13,Successful,54.6,35.1,60.1,8.3
Pass,89401,13,Successful,60.0,68.4,57.2,88.1
Pass,89401,13,Unsuccessful,37.1,8.5,45.5,5
Pass,89401,13,Successful,62.8,18.3,55.6,56.6
Pass,89401,13,Successful,64.8,41.8,87.5,15
Pass,89401,13,Successful,36.6,56.4,34,77.5
Pass,89401,13,Successful,71.7,27.4,57.6,66.3
Pass,89401,13,Successful,58.9,45.8,77.3,5.3
Pass,89401,13,Successful,31.1,23.7,15,17.3
Pass,89401,13,Successful,52.2,34.3,51.2,53.7
Pass,89401,13,Unsuccessful,76.2,2.9,87.8,9.1
Pass,89401,13,Successful,33.7,31.3,45.1,37.9
Pass,89401,13,Successful,36.0,38.9,24.2,74.4
Pass,89401,13,Unsuccessful,41.5,69.3,42,68.2
Pass,89401,13,Successful,22.4,43.3,6.3,43.4
Pass,89401,13,Successful,39.2,66.6,56.4,94.7
Pass,89401,13,Successful,24.8,25.8,42.2,32.4
Pass,89401,13,Successful,41.7,46.7,56.6,40
Pass,89401,13,Successful,59.0,58.5,53,70.9
Pass,89401,13,Successful,25.5,51.5,20.2,85.9
Pass,89401,13,Successful,44.1,77.9,61.7,99.3
Pass,89401,13,Successful,58.9,70.3,69.6,55.5
Pass,89401,13,Successful,32.6,42.5,39.9,79.9
Pass,89401,13,Successful,47.4,59.9,55.3,90.8
Pass,89401,13,Successful,69.1,43.0,77,8
Pass,89401,13,Successful,64.6,33.9,59.6,66.4
Pass,89401,13,Successful,24.8,13.4,22.7,2.9
Pass,89401,13,Successful,55.7,86.3,62.9,92.9
Pass,89401,13,Successful,56.2,74.3,74.7,88.5
Pass,89401,13,Successful,64.2,93.3,55,93.3
Pass,89401,13,Successful,60.7,96.0,75.2,98
Pass,89401,13,Successful,71.5,93.0,94.4,98.4
Pass,89401,13,Successful,73.8,72.7,84.1,93
Pass,89401,13,Successful,73.1,78.4,88.3,29.8
Pass,89401,13,Successful,27.3,80.2,7.2,68.5
BallTouch,89401,13,Unsuccessful,44.2,65.7,,
