Event,Player,Team,Outcome,X,Y,endX,endY
Pass,89401,13,Successful,26.4,34.8,13.3,56.3
Pass,89401,13,Successful,32.3,67.5,71.6,90.2
Pass,89401,13,Successful,32.8,20.0,32.4,6.5
Pass,89401,13,Successful,32.4,61.8,46,21.3
Pass,89401,13,Successful,61.4,26.5,73.2,42.4
Pass,89401,13,Successful,36.2,31.8,38.6,87.7
Pass,89401,13,Unsuccessful,56.3,32.5,62.8,45.1
Pass,89401,13,Successful,47.1,42.2,47.3,13.8
Pass,89401,13,Successful,24.1,16.4,9,17.3
Pass,89401,13,Unsuccessful,32.7,33.4,59.1,33.9
Pass,89401,13,Successful,65.6,71.5,76.2,89
Pass,89401,13,Successful,24.6,45.1,12.1,31.9
Pass,89401,13,Successful,13.3,28.8,21.1,5.5
Pass,89401,13,Unsuccessful,25.3,87.5,27.7,88.6
BallTouch,89401,13,Successful,25.9,87.4,,
Pass,89401,13,Successful,53.1,24.7,28.7,23.1
Pass,89401,13,Successful,42.5,32.5,45.6,70.3
Pass,89401,13,Successful,70.7,56.1,73.5,73.8
Pass,89401,13,Unsuccessful,30.4,52.8,87.1,84.4
Pass,89401,13,Successful,51.7,77.3,69.5,81.2
Pass,89401,13,Successful,37.2,46.4,31.2,27.7
Pass,89401,13,Unsuccessful,32.5,18.2,54.3,18.6
BallTouch,89401,13,Unsuccessful,25.7,14.4,,
Pass,89401,13,Successful,38.7,68.1,87.8,17.6
Pass,89401,13,Successful,77.2,10.6,77.7,6.5
Pass,89401,13,Successful,59.2,31.9,64.7,57.8
Pass,89401,13,Successful,61.9,60.5,85.4,13.8
Pass,89401,13,Successful,68.6,58.7,70.4,18
Pass,89401,13,Successful,71.2,37.4,79.3,23.1
Pass,89401,13,Successful,36.0,38.2,56,40.6
Pass,89401,13,Successful,53.2,56.3,59.1,82.7
Pass,89401,13,Successful,57.5,70.5,61.1,64.8
Pass,89401,13,Successful,61.2,86.9,65.9,94.8
Pass,89401,13,Successful,58.8,77.9,62.5,95.9
Pass,89401,13,Successful,65.5,74.4,55.2,77.5
Pass,89401,13,Successful,58.8,25.5,66.2,32.8
Pass,89401,13,Successful,64.0,32.7,64.8,68.5
Pass,89401,13,Unsuccessful,68.0,26.1,100,65.1
Pass,89401,13,Successful,45.4,3.2,85.2,21.9
Pass,89401,13,Unsuccessful,22.6,70.1,55.1,27
Pass,89401,13,Successful,51.9,66.3,72.1,10.4
Pass,89401,13,Successful,38.0,33.0,22.3,59.3
Pass,89401,13,Successful,68.7,0.0,76.2,2.1
Pass,89401,13,Successful,54.4,95.7,43.6,96.6
Pass,89401,13,Successful,42.2,22.5,41.6,2.7
Pass,89401,13,Successful,32.8,41.6,36,55.2
Pass,89401,13,Successful,53.6,44.0,68.2,15.3
Pass,89401,13,Successful,42.3,69.3,45.3,82.8
Pass,89401,13,Successful,53.7,72.9,72.6,86.2
Pass,89401,13,Successful,46.0,67.4,54,84.1
Pass,89401,13,Successful,40.1,20.1,38.5,65.2
Pass,89401,13,Successful,67.9,57.9,79.8,89
Pass,89401,13,Successful,72.1,67.8,74.4,83.8
BallTouch,89401,13,Unsuccessful,46.5,68.4,,
Error,89401,13,Successful,47.5,69.7,,
Pass,89401,13,Successful,25.4,50.3,40.6,3.2
