Event,Player,Team,Outcome,X,Y,endX,endY
Pass,89401,13,Successful,37.0,35.8,22.7,66.7
Pass,89401,13,Successful,15.6,29.7,27.8,1.7
Pass,89401,13,Successful,27.3,9.4,34.3,16.8
Pass,89401,13,Successful,26.1,32.2,22.3,70.3
Pass,89401,13,Successful,41.2,22.2,29.8,51
Pass,89401,13,Successful,51.7,7.1,43,1.9
Pass,89401,13,Successful,46.0,45.2,47.3,66.8
Pass,89401,13,Successful,45.4,50.9,40.5,71.1
Pass,89401,13,Successful,61.1,65.8,57.8,82
Pass,89401,13,Successful,24.9,45.5,30.5,11.8
Pass,89401,13,Successful,56.5,30.1,49.3,6.7
Pass,89401,13,Successful,62.7,44.3,56.9,11.7
Pass,89401,13,Successful,47.4,8.5,38.2,17.6
Pass,89401,13,Successful,8.5,23.7,33.9,45.2
Pass,89401,13,Successful,36.7,4.3,30.3,34.8
Pass,89401,13,Successful,34.6,72.3,49.5,84.2
Pass,89401,13,Unsuccessful,73.2,46.6,82,48.4
Pass,89401,13,Successful,67.4,50.3,79.3,85.9
Pass,89401,13,Successful,63.6,68.1,67.8,87.8
Pass,89401,13,Successful,67.6,38.0,71.5,57.9
Pass,89401,13,Successful,67.7,48.8,72.1,68.8
Pass,89401,13,Successful,66.7,61.7,69.2,71.5
Pass,89401,13,Successful,24.5,39.4,18.7,21.9
Pass,89401,13,Successful,33.3,25.3,37.7,3.4
Pass,89401,13,Successful,60.9,48.2,72.1,35.4
Pass,89401,13,Unsuccessful,25.9,36.9,40.2,0
Pass,89401,13,Unsuccessful,13.7,14.3,13.2,14.5
Pass,89401,13,Successful,31.5,40.3,11.1,32.4
Pass,89401,13,Successful,27.4,24.1,7.9,32.5
Pass,89401,13,Successful,61.0,0.0,41.6,4
Pass,89401,13,Successful,35.8,26.8,28.3,70.6
Pass,89401,13,Successful,28.0,29.1,38.3,33.4
Pass,89401,13,Successful,30.9,43.2,52.4,7.2
Pass,89401,13,Successful,38.3,42.8,45.7,4.9
Pass,89401,13,Successful,51.5,58.1,38.4,64.8
Pass,89401,13,Successful,49.2,20.3,64,9.7
Pass,89401,13,Successful,72.6,44.2,72.9,96.3
Pass,89401,13,Successful,55.1,63.1,31.8,45.5
Pass,89401,13,Successful,35.0,44.6,21.1,33.3
Pass,89401,13,Successful,23.8,73.8,33,57
Pass,89401,13,Successful,28.5,56.9,39.8,23.7
Pass,89401,13,Successful,43.8,12.3,39.6,43.4
Pass,89401,13,Successful,60.4,36.0,72.3,24.7
Pass,89401,13,Successful,55.8,6.8,51,0.8
Pass,89401,13,Successful,27.2,15.6,22.9,8.2
Pass,89401,13,Unsuccessful,45.4,47.6,61.3,40.3
Pass,89401,13,Successful,34.4,20.4,41.9,7.9
Pass,89401,13,Successful,19.1,46.9,37.8,96.6
Pass,89401,13,Successful,32.0,80.0,18.2,56
Pass,89401,13,Successful,28.8,57.8,39,83.6
Pass,89401,13,Successful,39.5,20.4,57,2
Pass,89401,13,Unsuccessful,46.4,1.3,62.7,4.3
Pass,89401,13,Successful,21.3,12.3,12.4,1.6
Pass,89401,13,Unsuccessful,32.0,4.9,31.8,73.5
Error,89401,13,Successful,33.2,4.6,,
BallTouch,89401,13,Successful,8.4,35.7,,
Pass,89401,13,Unsuccessful,56.8,77.0,68.6,79.1
Pass,89401,13,Successful,18.7,29.4,27.1,24.7
Pass,89401,13,Successful,30.5,43.7,46.6,12.5
Pass,89401,13,Successful,17.6,60.6,25,69
Pass,89401,13,Successful,23.0,67.0,31.3,67.8
Pass,89401,13,Unsuccessful,64.0,86.8,66,90.5
Pass,89401,13,Successful,29.9,51.8,21.5,77.5
Pass,89401,13,Successful,41.3,81.8,54.2,65.2
Pass,89401,13,Successful,39.0,34.9,52.2,58.2
Pass,89401,13,Successful,56.6,33.4,66.5,5.8
Pass,89401,13,Successful,48.3,31.0,81.7,15.9
Pass,89401,13,Successful,64.3,40.3,89.2,11.1
Pass,89401,13,Successful,68.9,18.0,77.8,6.5
Pass,89401,13,Successful,78.4,34.6,82.6,47.8
Pass,89401,13,Successful,27.2,25.2,23,83.3
Pass,89401,13,Unsuccessful,48.4,23.3,70.7,53.7
BallTouch,89401,13,Successful,43.5,5.9,,
Pass,89401,13,Unsuccessful,43.6,48.8,50.4,59
Pass,89401,13,Successful,22.6,43.1,9.3,31
Pass,89401,13,Successful,59.9,17.0,64.1,3.2
Pass,89401,13,Successful,56.8,15.5,43.2,2
Pass,89401,13,Successful,50.7,35.5,57.5,40
Pass,89401,13,Successful,64.9,60.5,63.3,47.6
Pass,89401,13,Successful,29.1,49.1,48.2,44.9
Pass,89401,13,Successful,41.6,37.7,42.5,26.2
Pass,89401,13,Successful,52.7,68.4,67.2,6.2
Pass,89401,13,Unsuccessful,62.8,80.0,76.1,92.3
BallTouch,89401,13,Unsuccessful,55.9,92.3,,
Pass,89401,13,Successful,14.3,88.7,14.1,96.5
Pass,89401,13,Successful,36.0,38.9,53.1,33.3
Pass,89401,13,Successful,45.8,42.2,56.9,19.8
BallTouch,89401,13,Successful,60.1,30.3,,
Pass,89401,13,Successful,36.8,23.3,32.6,61.2
Pass,89401,13,Successful,54.4,24.1,51.4,4.7
Pass,89401,13,Successful,18.8,52.1,22.7,98.3
Pass,89401,13,Unsuccessful,25.2,26.8,26.5,26.8
