Event,Player,Team,Outcome,X,Y,endX,endY
Pass,89401,13,Successful,38.4,10.0,34.3,5
Pass,89401,13,Successful,74.8,23.9,92,91.5
Pass,89401,13,Successful,66.4,25.9,73.6,40
Pass,89401,13,Successful,39.0,32.1,35.1,19.1
BallTouch,89401,13,Successful,54.6,9.2,,
Pass,89401,13,Unsuccessful,27.9,69.5,22.8,100
Pass,89401,13,Successful,34.4,68.1,34.5,16.5
BallTouch,89401,13,Unsuccessful,30.0,26.5,,
Pass,89401,13,Successful,53.7,30.7,63.5,28.3
Pass,89401,13,Unsuccessful,11.4,39.7,36.8,46.7
Pass,89401,13,Successful,46.0,72.4,26.5,59.6
Pass,89401,13,Successful,66.6,14.4,62.5,32.2
Pass,89401,13,Successful,40.6,69.6,31,37.9
Pass,89401,13,Successful,70.8,49.6,77.2,73.9
Pass,89401,13,Unsuccessful,55.7,89.4,43.9,100
Pass,89401,13,Successful,46.2,62.7,38.5,70.9
Pass,89401,13,Successful,61.6,30.4,48.2,54
Pass,89401,13,Successful,42.6,89.7,39.1,98.1
Pass,89401,13,Unsuccessful,40.6,88.3,59.6,88.4
Pass,89401,13,Successful,26.7,54.8,14.9,25.8
Pass,89401,13,Successful,52.0,84.2,32.9,44.9
Pass,89401,13,Successful,44.5,27.9,58.8,17.4
Pass,89401,13,Successful,46.3,28.0,41,73.6
Pass,89401,13,Successful,66.5,66.7,81.1,95
BallTouch,89401,13,Successful,47.3,45.2,,
Pass,89401,13,Successful,66.6,87.7,55.4,67
Pass,89401,13,Successful,23.3,64.5,28.9,41.3
Pass,89401,13,Successful,37.2,46.0,43.6,30.3
Pass,89401,13,Successful,51.1,27.3,42.4,15.8
Pass,89401,13,Successful,56.7,45.8,56.5,30.6
Pass,89401,13,Successful,23.3,8.0,20.3,1.4
Pass,89401,13,Successful,28.8,43.5,13.8,56.5
Pass,89401,13,Successful,21.2,35.7,30.2,46.9
Pass,89401,13,Successful,19.3,53.7,21.9,82.3
Pass,89401,13,Successful,21.6,70.6,42.8,73.3
Pass,89401,13,Successful,52.8,32.7,57.5,40.3
Pass,89401,13,Unsuccessful,44.2,2.6,57.4,10.7
Pass,89401,13,Successful,37.7,73.3,63.9,9.8
Pass,89401,13,Successful,23.2,61.7,37.5,67
Pass,89401,13,Successful,52.2,32.2,30.1,49.1
Pass,89401,13,Successful,47.4,24.6,32.4,24.4
Pass,89401,13,Successful,15.2,8.5,23.2,2.5
BallTouch,89401,13,Successful,12.7,27.9,,
Pass,89401,13,Successful,30.1,16.1,30.3,4
Pass,89401,13,Successful,44.4,63.4,25.4,63.3
Pass,89401,13,Successful,20.7,65.7,8.4,42.4
Pass,89401,13,Successful,43.7,45.7,56.5,88.3
Pass,89401,13,Unsuccessful,67.5,22.4,92,63.7
Pass,89401,13,Successful,40.0,30.1,37.1,14.4
Pass,89401,13,Successful,31.4,59.6,26.3,37
Pass,89401,13,Successful,31.8,46.3,27.4,79.3
Pass,89401,13,Successful,34.8,27.1,56.4,6.4
Pass,89401,13,Successful,40.8,38.9,47.9,48.5
Pass,89401,13,Unsuccessful,33.6,22.1,44.8,22.2
Pass,89401,13,Successful,39.2,30.4,50.9,8.8
Pass,89401,13,Successful,62.5,30.9,81.7,84.7
Pass,89401,13,Successful,41.3,51.6,48,48.5
Pass,89401,13,Successful,36.4,57.3,42.9,28
Pass,89401,13,Successful,52.5,34.0,68.4,41.9
Pass,89401,13,Successful,53.6,6.2,32.7,6.1
Pass,89401,13,Successful,17.3,8.7,12.1,2.6
Pass,89401,13,Successful,41.4,18.0,36.4,4
Pass,89401,13,Successful,29.3,27.9,8.7,46
Pass,89401,13,Successful,27.3,42.8,10.5,81.8
Pass,89401,13,Successful,24.6,25.0,19.4,3.1
Pass,89401,13,Successful,21.2,32.8,29.2,42.5
Pass,89401,13,Successful,25.1,28.9,0.8,47.3
Pass,89401,13,Successful,46.2,52.4,44.8,59.1
Pass,89401,13,Successful,18.0,47.9,7.4,25.5
BallTouch,89401,13,Unsuccessful,44.9,12.8,,
Pass,89401,13,Unsuccessful,59.9,93.3,85,54.5
Pass,89401,13,Successful,42.9,54.8,19.1,49.1
Pass,89401,13,Unsuccessful,70.4,63.9,78.3,63.7
Pass,89401,13,Successful,38.3,88.0,27.7,67.6
