Event,Player,Team,Outcome,X,Y,endX,endY
Pass,89401,13,Successful,60.5,88.7,41.3,83.3
Pass,89401,13,Successful,72.8,90.0,76.1,98.6
Pass,89401,13,Unsuccessful,31.3,64.3,34.7,42.7
Pass,89401,13,Successful,68.1,68.4,87.6,79.4
Pass,89401,13,Successful,63.9,83.9,72.7,94.2
Pass,89401,13,Successful,32.5,78.1,47.7,78.1
Pass,89401,13,Successful,47.7,54.2,60.7,14
Pass,89401,13,Successful,63.5,64.2,53.5,39.5
Pass,89401,13,Successful,61.4,63.0,71.7,63.1
Pass,89401,13,Successful,67.6,60.9,63.6,42.7
Pass,89401,13,Successful,35.2,92.1,31.4,96.8
Pass,89401,13,Unsuccessful,38.0,95.6,39.2,94.6
Pass,89401,13,Successful,41.0,81.8,53.3,53.9
Pass,89401,13,Successful,63.8,66.4,72.7,37.9
Pass,89401,13,Successful,69.4,59.3,79.5,19.2
Pass,89401,13,Unsuccessful,51.9,88.0,61.9,97.4
Pass,89401,13,Successful,57.5,69.6,53.8,56.1
Pass,89401,13,Successful,56.2,70.6,45.4,78.2
Pass,89401,13,Successful,53.8,68.4,53.9,89.9
Pass,89401,13,Successful,56.7,52.5,56.8,39.4
Pass,89401,13,Successful,60.0,52.7,57.1,32.7
Pass,89401,13,Successful,66.5,97.5,58.3,93.6
Pass,89401,13,Successful,60.5,79.0,72,64.5
Pass,89401,13,Successful,68.1,74.5,88.3,16.2
Pass,89401,13,Successful,17.9,7.6,9.7,2.3
Pass,89401,13,Successful,36.4,66.1,59.1,96.6
Pass,89401,13,Successful,66.1,67.3,75.7,95.3
Pass,89401,13,Successful,69.1,94.7,72.8,98.7
Pass,89401,13,Unsuccessful,87.9,74.5,97.7,57.2
Pass,89401,13,Successful,38.4,51.6,34.6,43.9
Pass,89401,13,Successful,41.7,62.9,34.1,62.9
Pass,89401,13,Successful,45.0,65.1,54,90.3
Pass,89401,13,Successful,67.3,84.1,57.1,38.6
Pass,89401,13,Successful,68.6,93.2,73.2,98.3
Pass,89401,13,Successful,63.8,94.4,50.9,78.1
Pass,89401,13,Successful,52.5,99.0,22.8,53.1
Pass,89401,13,Successful,52.5,94.5,94.5,82.1
Pass,89401,13,Successful,53.3,82.6,47.2,70.3
Pass,89401,13,Successful,42.9,93.6,57.8,85.9
Pass,89401,13,Successful,42.0,91.4,44.4,70.6
Pass,89401,13,Successful,77.1,94.8,88.6,48.4
