Event,Player,Team,Outcome,X,Y,endX,endY
Pass,89401,13,Successful,24.2,70.2,22,95.7
Pass,89401,13,Unsuccessful,53.7,95.0,55.7,98.4
Pass,89401,13,Successful,35.6,39.5,44.6,35.5
BallTouch,89401,13,Successful,38.7,53.9,,
Pass,89401,13,Successful,34.6,66.7,43.1,91.8
Pass,89401,13,Successful,68.2,61.1,92.3,5.9
Pass,89401,13,Successful,35.9,55.4,28.6,30.9
Pass,89401,13,Successful,27.6,74.5,13.3,24.7
Pass,89401,13,Successful,25.7,72.0,9.4,57.6
Pass,89401,13,Unsuccessful,36.2,68.1,53.9,53.7
Pass,89401,13,Successful,63.3,25.3,51.8,2.3
Pass,89401,13,Successful,37.6,66.2,32.3,68.8
Pass,89401,13,Successful,56.7,76.4,54.1,54.6
Pass,89401,13,Successful,59.4,98.1,33.8,90.6
Pass,89401,13,Successful,47.8,92.4,35.3,74.4
Pass,89401,13,Successful,62.7,42.5,68,17.1
Pass,89401,13,Successful,62.4,48.2,56.2,30.3
Pass,89401,13,Successful,66.8,83.8,87.4,75
BallTouch,89401,13,Successful,29.3,45.8,,
Pass,89401,13,Successful,13.3,62.3,23.2,27.1
Pass,89401,13,Successful,22.0,38.8,23.7,22.5
Pass,89401,13,Successful,29.1,88.1,12.3,63
Pass,89401,13,Successful,34.2,65.1,69.8,91.5
Pass,89401,13,Successful,70.7,74.8,87.1,48.4
Pass,89401,13,Successful,77.7,95.1,82.9,97.2
Pass,89401,13,Successful,69.0,92.1,78.7,97.8
Pass,89401,13,Successful,70.1,81.4,75.5,72.1
Pass,89401,13,Successful,66.5,49.3,44.3,65.1
Pass,89401,13,Successful,75.0,56.4,69.4,84.5
Pass,89401,13,Successful,42.3,85.0,28.9,76
Pass,89401,13,Successful,34.3,96.9,44.1,97.4
Pass,89401,13,Successful,41.3,88.9,46.9,36.1
Pass,89401,13,Successful,58.0,74.7,33,53.7
Pass,89401,13,Successful,36.5,72.3,29.2,49.7
Pass,89401,13,Successful,26.7,42.1,20.7,64.8
BallTouch,89401,13,Successful,52.6,82.9,,
Pass,89401,13,Successful,30.1,88.3,38.6,85.1
Pass,89401,13,Successful,28.9,58.5,29.1,75.2
Pass,89401,13,Successful,34.0,84.8,39.5,11.9
Pass,89401,13,Successful,24.5,66.7,29,72
Pass,89401,13,Successful,29.1,41.8,3.7,48.5
Pass,89401,13,Successful,31.7,66.4,33.5,50
Pass,89401,13,Successful,51.6,81.1,59.8,96.3
Pass,89401,13,Successful,51.6,90.6,39.3,86.3
Pass,89401,13,Successful,26.3,87.2,22.3,96.3
BallTouch,89401,13,Successful,19.5,93.5,,
Pass,89401,13,Successful,60.7,6.2,45,25.6
Pass,89401,13,Successful,76.8,69.1,84.1,91.1
Pass,89401,13,Successful,65.7,84.2,78.7,95.1
Pass,89401,13,Successful,32.6,67.3,41.6,77.9
Pass,89401,13,Successful,77.1,43.0,87.3,37.4
Pass,89401,13,Successful,27.7,89.1,25.4,96.6
Pass,89401,13,Successful,25.7,73.9,26.9,28.8
Pass,89401,13,Unsuccessful,26.3,47.2,47.5,19.2
Pass,89401,13,Successful,21.8,63.0,14.2,47.9
Pass,89401,13,Successful,44.4,44.2,42.5,79.4
Pass,89401,13,Successful,36.1,50.6,42.5,17.1
Pass,89401,13,Successful,61.8,61.7,62.5,45.2
Pass,89401,13,Successful,63.0,76.9,48.3,35.2
Pass,89401,13,Unsuccessful,60.6,28.5,64.6,23.9
BallTouch,89401,13,Unsuccessful,26.3,45.8,,
