Event,Player,Team,Outcome,X,Y,endX,endY
Pass,89401,13,Successful,44.8,66.7,67.1,94.8
BallTouch,89401,13,Unsuccessful,58.4,51.5,,
Pass,89401,13,Successful,52.6,38.3,52.7,63.1
Pass,89401,13,Successful,63.4,70.2,56.4,31.2
Pass,89401,13,Successful,51.6,65.8,42.9,33.6
Pass,89401,13,Successful,28.7,71.2,36.9,86.5
Pass,89401,13,Successful,20.4,86.0,20.3,65.2
Pass,89401,13,Successful,60.3,89.6,45.8,71.2
Pass,89401,13,Successful,47.1,66.3,63.2,80.9
Pass,89401,13,Successful,53.7,69.1,47,63.4
Pass,89401,13,Successful,48.3,85.9,35.6,45.1
Pass,89401,13,Successful,48.2,34.3,57.4,23.1
Pass,89401,13,Successful,46.1,31.6,37.5,20.9
Pass,89401,13,Successful,41.5,79.1,48.5,58.7
Pass,89401,13,Successful,53.7,89.7,56.9,72.3
Pass,89401,13,Successful,47.8,82.4,40.5,45.7
Pass,89401,13,Successful,30.6,66.0,32.5,49.3
Pass,89401,13,Successful,38.0,68.4,39.9,50.4
Pass,89401,13,Successful,55.3,38.0,50,34
Pass,89401,13,Successful,59.2,25.8,59.2,9.2
Pass,89401,13,Successful,36.7,47.9,27.4,29.2
Pass,89401,13,Successful,51.6,39.8,46.3,28.2
Pass,89401,13,Successful,42.9,86.0,29.2,86
Pass,89401,13,Unsuccessful,53.4,44.9,64,74.2
BallTouch,89401,13,Successful,42.3,65.1,,
Pass,89401,13,Successful,36.7,53.4,31.8,28
Pass,89401,13,Unsuccessful,40.6,28.5,59.1,17.6
Pass,89401,13,Successful,42.7,71.5,53,92.7
Pass,89401,13,Successful,73.1,82.3,80.8,77
Pass,89401,13,Successful,45.0,43.6,40,70.2
Pass,89401,13,Successful,57.1,83.8,45.1,67.2
Pass,89401,13,Successful,54.1,68.5,54.3,34
Pass,89401,13,Unsuccessful,47.2,33.7,47.9,33.7
Pass,89401,13,Successful,28.5,71.2,17.4,75.7
Pass,89401,13,Successful,37.0,69.9,62.9,17.6
Pass,89401,13,Successful,36.9,84.7,44.7,84.7
Pass,89401,13,Successful,51.3,93.8,38,93.8
Pass,89401,13,Successful,42.2,70.6,33.5,86.3
Pass,89401,13,Unsuccessful,65.9,51.8,86.5,9.8
Pass,89401,13,Successful,39.0,39.7,56.2,72.7
Pass,89401,13,Successful,58.4,88.6,67.2,98.4
Pass,89401,13,Successful,52.3,92.3,46.4,61.4
Pass,89401,13,Successful,54.4,72.7,54.4,95.7
Pass,89401,13,Successful,30.9,82.7,7.9,58.2
BallTouch,89401,13,Successful,4.7,75.1,,
Pass,89401,13,Successful,19.7,48.7,29.6,24.9
Pass,89401,13,Successful,64.8,93.2,50.5,89.3
Pass,89401,13,Successful,60.0,95.0,52.3,59.3
Pass,89401,13,Successful,60.1,64.0,47,41.9
Pass,89401,13,Successful,55.7,69.6,67.4,98
