Event,Player,Team,Outcome,X,Y,endX,endY
Pass,89401,13,Unsuccessful,26.6,84.4,42.4,76
BallTouch,89401,13,Successful,26.4,54.6,,
Pass,89401,13,Successful,24.7,80.2,33.3,67.3
Pass,89401,13,Unsuccessful,24.3,91.2,60.7,91.1
Pass,89401,13,Successful,85.7,24.9,90.5,31.2
Pass,89401,13,Successful,73.4,80.0,83.8,47
Pass,89401,13,Successful,28.5,69.6,32.5,64.8
Pass,89401,13,Successful,34.1,85.4,45.3,98.9
Pass,89401,13,Unsuccessful,18.8,88.4,45.7,97.1
Pass,89401,13,Unsuccessful,34.1,70.3,45.6,86.5
Pass,89401,13,Unsuccessful,45.0,65.1,54,54
Pass,89401,13,Successful,33.2,54.2,32.2,56.3
Pass,89401,13,Successful,43.7,52.0,49,63.3
Pass,89401,13,Unsuccessful,9.9,90.5,30.4,85.1
Pass,89401,13,Successful,14.3,100.0,4.9,69.9
BallTouch,89401,13,Successful,20.1,94.2,,
Pass,89401,13,Successful,10.1,83.0,24.9,77.8
Pass,89401,13,Successful,35.6,86.2,38.4,42.4
Pass,89401,13,Successful,35.8,74.8,32,44.9
Pass,89401,13,Successful,46.9,83.3,62,97.8
Pass,89401,13,Successful,28.4,94.2,36,94.2
Pass,89401,13,Successful,20.9,97.8,14.2,78.8
Pass,89401,13,Successful,38.8,81.7,65.3,94.1
Pass,89401,13,Successful,59.5,92.3,63,96.8
Pass,89401,13,Successful,54.2,92.9,43.3,87.2
Pass,89401,13,Successful,46.3,75.0,58.1,97.7
Pass,89401,13,Successful,54.5,88.0,43.8,32.8
Pass,89401,13,Unsuccessful,73.7,65.1,100,65.2
Pass,89401,13,Successful,24.0,77.5,28.7,66.4
Pass,89401,13,Successful,20.8,95.6,41.5,95.4
Pass,89401,13,Successful,47.7,73.0,73.7,94.7
Pass,89401,13,Unsuccessful,71.6,96.8,88.4,94.2
Pass,89401,13,Successful,66.2,93.8,49.2,66.1
Pass,89401,13,Successful,54.1,77.3,64.1,98.7
Pass,89401,13,Successful,55.5,87.2,38.4,65.2
Pass,89401,13,Successful,46.6,86.5,42.8,30
Pass,89401,13,Successful,63.4,39.7,68.7,57.5
Pass,89401,13,Successful,68.8,66.1,72.2,96.6
Pass,89401,13,Unsuccessful,29.1,88.7,36.8,64.5
Pass,89401,13,Successful,11.0,71.7,2.9,56.3
Pass,89401,13,Successful,10.6,71.5,4.9,28.6
Pass,89401,13,Successful,30.2,65.4,37.8,93.5
Pass,89401,13,Successful,36.8,85.7,25,68.7
Pass,89401,13,Successful,34.1,82.7,44.3,98.4
Pass,89401,13,Successful,54.9,87.8,65.4,98.3
Pass,89401,13,Successful,21.9,44.5,31.5,34.5
Pass,89401,13,Successful,57.5,54.5,65.4,80.3
Pass,89401,13,Successful,63.6,78.1,61.6,66.7
Pass,89401,13,Successful,43.2,94.4,36.3,68.2
Pass,89401,13,Successful,52.8,83.8,63.3,98.1
Pass,89401,13,Successful,60.6,86.5,53.6,64.3
Pass,89401,13,Successful,26.9,65.2,33,38.3
Pass,89401,13,Successful,61.9,85.3,66.5,98.3
Pass,89401,13,Successful,57.6,95.4,65.3,98.6
Pass,89401,13,Successful,58.0,100.0,42.2,89.4
Pass,89401,13,Successful,59.8,89.9,71.9,85.3
Pass,89401,13,Successful,67.7,85.1,75.2,64.2
Pass,89401,13,Successful,66.6,73.8,74.5,69.7
Pass,89401,13,Successful,60.3,91.4,64.2,72.1
Pass,89401,13,Successful,54.4,64.8,69.8,97.7
Pass,89401,13,Successful,24.2,87.2,28.5,97.2
BallTouch,89401,13,Successful,41.9,88.4,,
Pass,89401,13,Successful,28.0,73.9,16.4,34.8
Pass,89401,13,Successful,34.5,82.1,42.4,98.4
Pass,89401,13,Successful,33.4,86.8,43.4,86.9
Pass,89401,13,Successful,47.9,82.0,58.3,96.8
Pass,89401,13,Unsuccessful,43.0,78.5,56.5,79.6
Pass,89401,13,Successful,41.1,88.1,26.7,74.2
Pass,89401,13,Successful,0.5,74.2,3,85.3
Pass,89401,13,Successful,41.0,68.2,72.9,95.3
Pass,89401,13,Successful,24.4,70.0,44.1,94.5
Pass,89401,13,Successful,61.5,76.3,67,94.1
Pass,89401,13,Unsuccessful,62.2,82.6,56.8,67.6
BallTouch,89401,13,Successful,30.5,66.7,,
Pass,89401,13,Successful,21.5,71.7,15,63.4
Pass,89401,13,Successful,36.9,85.1,30.1,62.9
Pass,89401,13,Successful,34.8,70.8,37.2,56.4
Pass,89401,13,Successful,52.5,77.8,35.3,67.2
Pass,89401,13,Successful,55.7,24.0,64.1,2.8
Pass,89401,13,Successful,52.9,69.1,73.8,2.9
Pass,89401,13,Successful,36.2,82.0,59.4,98.1
Pass,89401,13,Successful,24.5,66.3,27.7,79.3
Pass,89401,13,Unsuccessful,24.5,85.6,28.5,88.7
Pass,89401,13,Successful,46.8,27.9,39.4,4.1
Pass,89401,13,Successful,71.3,66.7,82.6,74.2
Pass,89401,13,Successful,71.4,95.1,68.1,70.3
Pass,89401,13,Unsuccessful,34.4,85.9,41.9,74.8
Pass,89401,13,Successful,53.9,90.2,39.3,67.9
Pass,89401,13,Successful,20.0,82.1,37,94.8
Pass,89401,13,Successful,28.5,82.4,30.6,63.7
Pass,89401,13,Successful,29.6,82.0,24.7,63.4
Pass,89401,13,Successful,28.4,85.1,23.3,68.7
Pass,89401,13,Successful,39.1,64.0,38.9,86
Pass,89401,13,Unsuccessful,75.9,100.0,89.3,84.8
Pass,89401,13,Successful,43.5,70.0,65.3,77.3
