Event,Player,Team,Outcome,X,Y,endX,endY
Pass,89401,13,Successful,61.6,93.6,39.7,93.8
Pass,89401,13,Unsuccessful,45.7,32.1,60.9,25.6
Pass,89401,13,Successful,35.8,52.5,45.1,57.3
Pass,89401,13,Successful,31.9,59.7,39.7,57.6
Pass,89401,13,Successful,24.2,31.6,19.9,24.7
Pass,89401,13,Successful,56.5,97.4,43.2,94.5
Pass,89401,13,Successful,42.8,54.3,33.7,62.9
Pass,89401,13,Successful,48.6,95.7,50.4,82.6
Pass,89401,13,Successful,29.9,61.4,48.6,71.2
Pass,89401,13,Unsuccessful,58.4,96.6,77.8,96.6
Pass,89401,13,Successful,55.7,96.6,61.9,99.2
Pass,89401,13,Successful,39.7,66.4,49.1,9.5
Pass,89401,13,Successful,60.1,72.4,74.3,96.6
Pass,89401,13,Successful,59.4,88.7,55.5,70.6
Pass,89401,13,Successful,40.2,54.8,30.5,71.8
Pass,89401,13,Unsuccessful,26.0,67.2,62.8,76.7
Pass,89401,13,Unsuccessful,44.8,52.1,48.9,56.7
Pass,89401,13,Successful,14.2,91.4,14.2,47.5
Pass,89401,13,Successful,37.8,92.9,44.8,85.9
Pass,89401,13,Successful,39.5,77.2,45.5,95.1
Pass,89401,13,Successful,35.7,86.8,28.4,52.8
Pass,89401,13,Successful,22.8,81.8,27.4,64.3
Pass,89401,13,Successful,12.8,71.2,8.2,35.5
Pass,89401,13,Successful,28.1,76.0,36.4,97.2
Pass,89401,13,Successful,9.6,76.3,2.7,62
Pass,89401,13,Successful,16.3,73.0,25.3,61.5
Pass,89401,13,Successful,70.3,29.5,74.5,14.3
Pass,89401,13,Successful,23.8,24.0,61.6,5.2
Pass,89401,13,Successful,30.2,67.8,48,97.1
Pass,89401,13,Successful,55.9,93.2,52.7,66.6
Pass,89401,13,Successful,44.6,88.1,44.5,38.6
Pass,89401,13,Successful,40.8,67.3,46.7,96.9
Pass,89401,13,Successful,33.3,65.7,29.3,42.4
BallTouch,89401,13,Successful,30.4,77.3,,
Pass,89401,13,Successful,32.2,66.0,38,55.7
Pass,89401,13,Successful,43.0,89.7,62.3,99.3
Pass,89401,13,Successful,16.5,95.0,24.1,98
Pass,89401,13,Successful,16.9,97.5,12.9,44.8
Pass,89401,13,Unsuccessful,36.3,94.5,72.8,33.7
Pass,89401,13,Successful,24.4,3.5,5.7,34.5
Pass,89401,13,Unsuccessful,23.3,1.3,24.4,2.5
Pass,89401,13,Successful,20.0,72.7,26.3,91.7
Pass,89401,13,Successful,46.5,82.4,36.7,42.2
Pass,89401,13,Successful,39.9,57.9,51.1,42.3
Pass,89401,13,Successful,34.4,62.6,11.2,52.4
Pass,89401,13,Successful,14.2,80.8,24.3,7
Pass,89401,13,Unsuccessful,18.9,47.6,30.6,40.3
Pass,89401,13,Successful,37.1,56.3,45.4,43.3
Pass,89401,13,Unsuccessful,40.5,67.0,41.2,67.8
Pass,89401,13,Unsuccessful,8.1,94.8,9.4,95.4
Pass,89401,13,Unsuccessful,41.4,78.1,70,86.2
Pass,89401,13,Successful,35.3,79.9,11.1,55.4
Pass,89401,13,Successful,69.0,81.5,76.9,87.4
Pass,89401,13,Successful,48.2,46.4,51.5,28.9
BallTouch,89401,13,Successful,6.2,58.4,,
