Event,Player,Team,Outcome,X,Y,endX,endY
Pass,89401,13,Successful,38.2,8.3,34.4,1.4
Pass,89401,13,Successful,19.6,26.5,8.5,4.6
Pass,89401,13,Unsuccessful,31.4,53.4,40.6,68.4
Pass,89401,13,Successful,31.9,91.6,32.3,97.4
Pass,89401,13,Successful,14.8,35.4,3.5,39.4
Pass,89401,13,Successful,20.7,61.7,27.3,53.4
Pass,89401,13,Successful,12.2,41.9,30.8,12
Pass,89401,13,Successful,27.4,16.1,16.8,6.7
Pass,89401,13,Unsuccessful,36.9,75.0,83.4,100
Pass,89401,13,Successful,53.2,84.8,61.2,95.9
Pass,89401,13,Successful,21.5,23.7,12,17.3
Pass,89401,13,Successful,29.1,17.6,39.8,37
Pass,89401,13,Successful,24.5,81.1,66,98.7
Pass,89401,13,Successful,24.9,24.7,18.8,12.5
Pass,89401,13,Successful,29.7,58.4,38,72.9
Pass,89401,13,Unsuccessful,79.2,82.7,100,74.7
Pass,89401,13,Successful,31.2,44.8,97.1,12.3
Pass,89401,13,Successful,67.2,40.4,64.3,57.6
BallTouch,89401,13,Successful,29.4,69.9,,
BallTouch,89401,13,Successful,23.1,36.7,,
Pass,89401,13,Successful,12.7,75.3,5.3,95.9
Pass,89401,13,Successful,30.7,27.4,25.1,27.4
Pass,89401,13,Unsuccessful,19.7,44.8,3.3,48.5
Pass,89401,13,Unsuccessful,30.8,71.8,72.3,76
Pass,89401,13,Successful,52.1,92.9,56.6,97.2
Pass,89401,13,Successful,53.9,72.6,50.6,90.5
Pass,89401,13,Successful,58.4,81.3,54.6,93.1
Pass,89401,13,Successful,45.7,68.8,37.4,63.9
BallTouch,89401,13,Successful,22.4,59.2,,
Pass,89401,13,Successful,21.9,71.8,28.7,97.4
Pass,89401,13,Successful,55.4,64.6,52.1,74.2
Pass,89401,13,Successful,28.9,35.7,96.5,1.6
Pass,89401,13,Successful,20.2,52.4,44.8,43.3
BallTouch,89401,13,Unsuccessful,23.1,65.7,,
Pass,89401,13,Successful,41.6,54.9,34.9,43.3
Pass,89401,13,Successful,33.2,54.5,22.1,32.8
Pass,89401,13,Successful,29.2,49.3,4.8,49.6
Pass,89401,13,Successful,15.2,71.4,2.7,56.9
Pass,89401,13,Unsuccessful,20.3,36.1,33.5,36
Pass,89401,13,Successful,53.1,56.4,52.3,65.4
Pass,89401,13,Successful,29.3,53.0,44.2,14.6
Pass,89401,13,Unsuccessful,37.0,75.0,52.5,85.4
Pass,89401,13,Successful,15.3,52.2,3,40.3
Pass,89401,13,Successful,29.3,88.9,38.4,72.7
Pass,89401,13,Successful,39.7,96.2,69.1,91.8
Pass,89401,13,Successful,41.9,69.4,32.6,51
Pass,89401,13,Successful,52.7,42.7,41.2,16.1
BallTouch,89401,13,Unsuccessful,13.9,27.4,,
Pass,89401,13,Successful,1.8,16.5,22.2,6.9
Pass,89401,13,Successful,32.2,23.7,34.6,10.3
Pass,89401,13,Successful,56.6,32.0,48.6,31.6
Pass,89401,13,Successful,24.1,65.4,26.4,59.7
Pass,89401,13,Successful,42.9,54.0,52.7,18.6
Pass,89401,13,Successful,25.5,61.2,28,40.3
Pass,89401,13,Successful,34.3,54.4,26.9,52.8
BallTouch,89401,13,Successful,20.9,70.0,,
Pass,89401,13,Successful,34.6,30.4,31,7.3
Pass,89401,13,Successful,41.7,17.9,46.7,5.5
Pass,89401,13,Successful,35.8,59.0,43.7,96.9
Pass,89401,13,Successful,44.1,82.6,60.4,82.4
Pass,89401,13,Successful,34.7,47.8,36.9,25.3
Pass,89401,13,Successful,30.5,55.0,23.1,46.4
Pass,89401,13,Successful,27.7,40.4,19.4,30.1
Pass,89401,13,Successful,36.6,55.1,39.4,36
Pass,89401,13,Successful,38.5,61.4,29,74.1
Pass,89401,13,Successful,64.1,75.7,66.4,58.2
Pass,89401,13,Successful,60.7,71.8,67.5,79.9
Pass,89401,13,Successful,61.5,74.5,71.6,96.5
Pass,89401,13,Successful,36.5,31.5,47.7,62
Pass,89401,13,Successful,66.7,66.4,72,93.9
Pass,89401,13,Successful,58.7,60.2,65.4,33.1
Pass,89401,13,Successful,48.1,32.8,53.3,15
Pass,89401,13,Successful,27.7,59.0,30.1,57.5
Pass,89401,13,Successful,24.6,20.4,18,45.7
Pass,89401,13,Successful,42.2,25.8,33.7,33.6
Pass,89401,13,Successful,41.7,33.7,48.4,11.6
Pass,89401,13,Successful,61.7,95.3,66.2,98.7
Pass,89401,13,Unsuccessful,70.2,95.4,88.8,81.1
Pass,89401,13,Successful,90.4,100.0,92.6,92.1
BallTouch,89401,13,Unsuccessful,87.7,95.7,,
BallTouch,89401,13,Successful,85.1,95.4,,
BallTouch,89401,13,Successful,14.0,55.7,,
Pass,89401,13,Successful,21.2,86.5,34.3,78.1
Pass,89401,13,Successful,6.3,29.5,20.3,5.2
Pass,89401,13,Successful,63.9,61.2,71.5,81.2
Pass,89401,13,Successful,68.9,85.7,90.4,74.8
Pass,89401,13,Successful,37.0,39.2,48.1,74.5
Pass,89401,13,Successful,59.5,65.1,55.7,53.4
Pass,89401,13,Successful,63.0,54.0,88.3,5.6
Pass,89401,13,Successful,52.9,45.4,45.3,45.1
Pass,89401,13,Successful,28.6,36.0,41.2,4.1
Pass,89401,13,Successful,41.1,15.3,41.6,11.3
