Event,Player,Team,Outcome,X,Y,endX,endY
Pass,89401,13,Successful,71.1,84.7,50,84.7
Pass,89401,13,Successful,56.1,71.7,43.9,56.4
Pass,89401,13,Successful,21.6,63.9,35.1,34.6
Pass,89401,13,Successful,64.2,50.7,79.1,92.9
Pass,89401,13,Successful,73.7,29.7,66.6,43.7
Pass,89401,13,Successful,87.2,93.3,91.7,98.3
Pass,89401,13,Successful,43.9,42.5,37.1,29.7
Pass,89401,13,Successful,71.0,60.6,77.3,83.6
Pass,89401,13,Successful,37.7,49.1,50.4,41.5
BallTouch,89401,13,Successful,10.9,53.0,,
Pass,89401,13,Successful,69.0,65.8,74.5,23.9
Pass,89401,13,Successful,46.4,74.8,40.5,61.5
Pass,89401,13,Unsuccessful,66.2,60.0,74.8,68.1
Pass,89401,13,Successful,8.4,82.0,10.3,68.2
Pass,89401,13,Successful,27.7,65.2,8.5,51.6
Pass,89401,13,Successful,36.1,6.5,31.9,1.1
Pass,89401,13,Successful,54.1,19.8,58.7,11.7
Pass,89401,13,Successful,60.9,27.1,59.4,41.8
Pass,89401,13,Successful,60.0,55.1,59.9,96.2
Pass,89401,13,Successful,54.6,88.3,41.6,71.4
Pass,89401,13,Successful,64.0,94.5,57.9,73.3
Pass,89401,13,Successful,69.8,91.2,75.7,99.2
Pass,89401,13,Successful,29.9,68.1,24.1,63.1
Pass,89401,13,Unsuccessful,10.3,73.5,45.7,44.9
Pass,89401,13,Successful,14.5,73.0,6.3,83.2
Pass,89401,13,Successful,37.0,46.1,43.6,37.4
Pass,89401,13,Successful,24.3,80.6,31.9,69.7
Pass,89401,13,Successful,40.4,36.0,29.9,22.7
Pass,89401,13,Successful,41.3,69.1,53.8,92
Pass,89401,13,Successful,31.4,33.0,48.8,5
Pass,89401,13,Successful,29.3,44.6,27.8,42.7
Pass,89401,13,Successful,40.8,70.0,55.4,38.3
Pass,89401,13,Successful,66.3,63.6,89.6,57.9
BallTouch,89401,13,Successful,4.4,44.5,,
BallTouch,89401,13,Successful,4.2,46.1,,
Pass,89401,13,Successful,45.1,82.9,35.4,63.7
Pass,89401,13,Successful,23.7,92.3,31.3,75.7
Pass,89401,13,Successful,43.3,100.0,56.7,93.4
Pass,89401,13,Successful,45.9,98.6,39.2,98.6
Pass,89401,13,Successful,27.5,76.7,31.2,70.8
Pass,89401,13,Unsuccessful,34.3,95.9,66.6,98.7
Pass,89401,13,Successful,36.7,95.6,51,95.7
Pass,89401,13,Successful,41.8,97.2,29.4,92.9
Pass,89401,13,Successful,18.5,50.7,36.7,81.1
Pass,89401,13,Unsuccessful,83.1,89.1,90.4,56.4
Pass,89401,13,Successful,75.2,100.0,66,96
Pass,89401,13,Successful,69.2,98.9,59.2,98.9
Pass,89401,13,Successful,55.1,93.9,66,98.7
Pass,89401,13,Successful,57.2,85.0,46.1,65.4
Pass,89401,13,Successful,64.1,96.3,58.2,86
Pass,89401,13,Unsuccessful,44.7,94.5,60.2,91.7
Pass,89401,13,Successful,62.8,80.2,61.2,74.1
Pass,89401,13,Successful,38.7,92.0,45.8,91.8
Pass,89401,13,Unsuccessful,71.0,93.6,92,52.1
Pass,89401,13,Unsuccessful,74.9,76.5,89.5,58.5
Pass,89401,13,Successful,47.1,94.7,62.2,98.9
Pass,89401,13,Successful,68.0,100.0,72.7,94.8
Pass,89401,13,Successful,55.4,92.7,51.1,70
Pass,89401,13,Unsuccessful,37.2,93.1,46.8,91.9
Pass,89401,13,Successful,44.2,100.0,39.1,73.3
Pass,89401,13,Successful,46.9,91.1,64.1,98.4
Pass,89401,13,Successful,21.1,95.1,23.6,84.2
Pass,89401,13,Successful,32.9,96.5,27.2,73.5
Pass,89401,13,Successful,57.8,80.9,54.2,67
Pass,89401,13,Successful,63.1,91.5,56.7,66.4
Pass,89401,13,Successful,62.8,88.9,68,55.4
Pass,89401,13,Unsuccessful,35.6,51.0,60.1,39.4
Pass,89401,13,Unsuccessful,16.3,98.0,33.3,93.5
Pass,89401,13,Successful,30.6,100.0,22.4,96.9
Pass,89401,13,Successful,26.6,99.6,14.1,66
Pass,89401,13,Successful,31.6,97.8,17.2,65.1
Pass,89401,13,Successful,53.2,89.9,69.8,98.7
Pass,89401,13,Unsuccessful,68.1,100.0,74.9,77.8
Pass,89401,13,Successful,30.6,76.6,27.2,62.3
Pass,89401,13,Successful,28.3,60.0,23.6,31
Pass,89401,13,Successful,44.7,87.1,61.3,95
