Event,Player,Team,Outcome,X,Y,endX,endY
Pass,89401,13,Successful,62.3,91.8,45,72
Pass,89401,13,Successful,75.7,66.3,81.9,83.9
Pass,89401,13,Successful,40.4,30.9,33.9,44.9
Pass,89401,13,Successful,69.1,48.8,78.1,87.8
Pass,89401,13,Unsuccessful,39.4,34.6,60.8,34.9
Pass,89401,13,Successful,45.0,91.7,48,76.6
Pass,89401,13,Unsuccessful,65.5,71.8,69.7,62.4
Pass,89401,13,Successful,65.4,66.4,72.6,93.9
Pass,89401,13,Successful,63.4,77.2,56.6,50.9
Pass,89401,13,Successful,60.0,73.3,72.3,95.9
Pass,89401,13,Successful,54.0,82.1,47.5,60.2
Pass,89401,13,Successful,64.0,83.9,71.2,93.2
Pass,89401,13,Successful,63.9,85.3,59.9,41.5
Pass,89401,13,Successful,62.9,97.1,52.9,85.1
Pass,89401,13,Successful,73.2,74.2,71.9,58.1
Pass,89401,13,Successful,45.6,76.0,42.1,32.2
Pass,89401,13,Successful,55.2,80.8,44.4,70.6
Pass,89401,13,Successful,70.4,72.9,70.4,58.1
Pass,89401,13,Successful,69.6,72.4,61.8,40.9
Pass,89401,13,Successful,5.7,81.2,3.3,86.8
Pass,89401,13,Unsuccessful,36.7,63.4,74.3,73.8
Pass,89401,13,Successful,77.5,68.7,81.5,89.4
Pass,89401,13,Successful,54.7,82.7,45.9,64.3
Pass,89401,13,Successful,55.1,54.8,66.2,37.9
Pass,89401,13,Successful,69.1,65.2,81.6,91.7
Pass,89401,13,Successful,28.7,47.2,35.3,66.6
Pass,89401,13,Successful,33.8,34.3,11.1,44.9
Pass,89401,13,Successful,45.7,57.8,65.5,80.5
Pass,89401,13,Successful,42.2,68.2,51.3,64.7
Pass,89401,13,Successful,70.6,66.3,81.2,92.9
Pass,89401,13,Successful,73.6,61.1,94.8,74.5
Pass,89401,13,Successful,56.3,68.1,67.5,93.8
Pass,89401,13,Successful,52.6,72.4,42.3,62.1
Pass,89401,13,Successful,72.2,74.2,85.2,96.6
Pass,89401,13,Successful,78.8,68.8,71.9,56
Pass,89401,13,Successful,60.1,54.6,72.7,43.4
Pass,89401,13,Successful,70.1,56.7,73.8,40
Pass,89401,13,Successful,42.3,90.5,43.3,97.1
Pass,89401,13,Successful,65.4,63.4,81.7,96.8
Pass,89401,13,Successful,43.0,66.0,61.7,73.8
Pass,89401,13,Successful,60.6,71.5,53.6,51.8
Pass,89401,13,Successful,36.5,62.9,52.2,47.6
Pass,89401,13,Successful,70.0,53.3,77.6,71.7
Pass,89401,13,Successful,66.6,64.6,63.2,42.5
Pass,89401,13,Successful,72.0,55.2,77,46.9
Pass,89401,13,Successful,29.3,96.5,38.1,94.5
Pass,89401,13,Successful,40.6,87.4,38.7,69.6
Pass,89401,13,Successful,49.0,77.6,40.5,61.5
Pass,89401,13,Successful,53.3,70.9,55.4,41.9
Pass,89401,13,Successful,64.1,61.4,64.1,37.3
Pass,89401,13,Successful,67.3,75.0,79.4,97.7
Pass,89401,13,Unsuccessful,73.4,78.3,85.9,54.2
Pass,89401,13,Successful,69.5,57.5,67.3,39.5
Pass,89401,13,Successful,56.1,79.9,53.6,45.4
Pass,89401,13,Successful,68.0,40.4,65.5,30.7
Pass,89401,13,Successful,69.5,50.9,69.5,57.2
Pass,89401,13,Successful,52.8,60.3,61.5,96.8
Pass,89401,13,Successful,51.9,73.8,35.3,82
Pass,89401,13,Successful,51.1,66.7,58.2,96.6
Pass,89401,13,Successful,72.6,66.9,71.5,57.5
Pass,89401,13,Unsuccessful,44.3,84.9,59.5,81.2
Pass,89401,13,Successful,31.1,97.7,24,73.2
Pass,89401,13,Successful,44.8,72.9,63.9,79.4
Pass,89401,13,Successful,63.5,66.0,65.4,48.2
Pass,89401,13,Unsuccessful,18.0,53.1,61.4,83.8
Pass,89401,13,Successful,23.2,45.2,12.5,19.7
Pass,89401,13,Successful,53.7,59.3,45.5,62.6
Pass,89401,13,Successful,45.7,54.2,62.2,69.3
Pass,89401,13,Successful,43.4,49.7,43.4,34.6
Pass,89401,13,Successful,48.3,63.4,56.6,96.5
Pass,89401,13,Successful,56.0,64.2,66.2,83.6
Pass,89401,13,Successful,66.5,60.5,65.1,37.4
Pass,89401,13,Successful,57.4,56.9,47,54.5
Pass,89401,13,Successful,52.9,57.0,58.2,30
Pass,89401,13,Successful,53.4,80.2,63.2,98.3
Pass,89401,13,Successful,53.9,88.6,66.4,98.3
BallTouch,89401,13,Successful,33.8,47.5,,
Pass,89401,13,Successful,13.1,80.3,35.6,68.1
Pass,89401,13,Successful,44.3,94.7,51.1,98.7
Pass,89401,13,Unsuccessful,46.1,60.2,55.6,36.6
Pass,89401,13,Successful,75.5,10.9,71.4,18.2
Pass,89401,13,Successful,46.4,61.2,43.1,53.6
Pass,89401,13,Successful,46.8,70.6,41.1,65.5
