Event,Player,Team,Outcome,X,Y,endX,endY
Pass,89401,13,Successful,24.1,82.0,36.9,76.4
Pass,89401,13,Successful,25.4,74.2,5.7,68.4
Pass,89401,13,Successful,26.8,64.6,29.3,2.6
Pass,89401,13,Successful,56.0,89.0,65.2,97.8
Pass,89401,13,Successful,62.7,71.4,46.4,65.1
Pass,89401,13,Successful,34.6,85.0,31.7,61.4
Pass,89401,13,Successful,42.3,70.3,31.3,56.3
Pass,89401,13,Successful,52.1,35.4,71.9,82.3
Pass,89401,13,Successful,60.3,84.5,78.5,98.7
Pass,89401,13,Successful,69.4,90.2,53.4,68.4
Pass,89401,13,Successful,26.7,95.0,19.6,97.4
Pass,89401,13,Successful,22.3,95.1,12.5,70.3
Pass,89401,13,Unsuccessful,45.8,86.0,60.4,98.1
Pass,89401,13,Unsuccessful,63.1,59.7,79.9,80.5
Pass,89401,13,Successful,43.8,70.9,27.8,56
Pass,89401,13,Successful,47.0,69.4,40.8,30.7
Pass,89401,13,Successful,68.0,85.0,69.4,73.6
Pass,89401,13,Successful,69.0,86.2,75.9,97.4
Pass,89401,13,Successful,64.9,93.8,71.7,76.9
Pass,89401,13,Successful,64.0,75.4,58.4,60.5
Pass,89401,13,Successful,58.0,82.0,82,92.9
Pass,89401,13,Successful,32.0,87.2,14,52.4
Pass,89401,13,Successful,65.0,89.6,80.3,97.9
Pass,89401,13,Successful,37.2,83.6,25.6,72.1
Pass,89401,13,Successful,22.1,84.4,27.7,72.7
Pass,89401,13,Successful,62.9,83.0,72.4,59.3
Pass,89401,13,Successful,74.0,19.1,92.6,17
Pass,89401,13,Successful,47.5,93.5,31.7,70.3
Pass,89401,13,Successful,29.9,62.9,47.9,47.5
Pass,89401,13,Successful,38.0,82.6,54.1,97.7
Pass,89401,13,Successful,55.0,87.8,63.3,95.3
Pass,89401,13,Unsuccessful,68.9,64.6,83.4,31.5
Pass,89401,13,Successful,39.6,70.6,32.9,53.9
Pass,89401,13,Successful,53.2,79.1,45,64.8
Pass,89401,13,Successful,38.4,89.4,38.6,57.6
Pass,89401,13,Successful,42.2,43.4,33.5,66.9
Pass,89401,13,Successful,47.9,50.3,43.5,27.6
Pass,89401,13,Successful,41.5,42.8,27,35.5
Pass,89401,13,Successful,44.1,15.3,39.7,13.8
Pass,89401,13,Successful,57.5,33.4,65.3,12.2
Pass,89401,13,Successful,23.6,90.2,19.1,94.8
Pass,89401,13,Successful,25.7,81.2,35,84.2
Pass,89401,13,Unsuccessful,95.8,75.6,95.6,72
BallTouch,89401,13,Successful,96.1,74.5,,
Pass,89401,13,Unsuccessful,58.5,69.6,80.5,12.6
Pass,89401,13,Successful,64.1,48.5,74.5,93.3
Pass,89401,13,Successful,68.1,56.1,72.7,62.7
Pass,89401,13,Successful,67.5,70.0,70.4,81.7
Pass,89401,13,Successful,51.2,50.9,37.8,43.9
Pass,89401,13,Successful,52.5,64.3,68.2,3.1
Pass,89401,13,Successful,66.2,82.1,79.8,17.4
Pass,89401,13,Successful,72.1,89.2,75.6,90.9
Pass,89401,13,Unsuccessful,74.4,95.9,87.7,56.6
Pass,89401,13,Successful,58.1,76.6,69.2,85.7
Pass,89401,13,Successful,58.1,74.4,64.7,94.7
Pass,89401,13,Unsuccessful,27.2,55.2,22.4,79.7
Pass,89401,13,Successful,59.3,33.0,78.4,7.4
Pass,89401,13,Successful,84.6,24.1,89.2,16.4
Pass,89401,13,Successful,46.9,57.6,44.9,32.7
Pass,89401,13,Unsuccessful,8.7,95.3,73.9,59.1
Pass,89401,13,Successful,53.5,44.3,55.4,17.3
Pass,89401,13,Successful,15.7,94.2,11.5,95.2
Pass,89401,13,Successful,9.2,29.7,29.5,26.4
Pass,89401,13,Successful,19.5,83.2,33,60.8
Pass,89401,13,Successful,36.5,94.5,34.2,86.2
Pass,89401,13,Successful,46.0,94.0,76.1,95
Pass,89401,13,Successful,47.0,71.1,75.8,84.4
Pass,89401,13,Successful,55.1,66.9,57.9,59.6
Pass,89401,13,Unsuccessful,31.0,75.1,38.1,57.2
Pass,89401,13,Successful,12.8,63.9,11,76.6
Pass,89401,13,Successful,52.5,54.2,59.1,4.4
Pass,89401,13,Successful,58.3,27.3,80.9,88.3
Pass,89401,13,Successful,62.2,52.2,55.6,63.6
Pass,89401,13,Successful,38.7,65.5,45.5,92.3
Pass,89401,13,Successful,26.8,59.4,19.6,71.4
