Event,Player,Team,Outcome,X,Y,endX,endY
Pass,89401,13,Unsuccessful,35.7,95.4,37.7,96.2
Pass,89401,13,Successful,37.2,92.0,32.1,97.7
Pass,89401,13,Successful,57.4,94.2,60.3,98.3
Pass,89401,13,Successful,15.8,95.3,8.7,76.4
Pass,89401,13,Unsuccessful,19.6,95.1,30.1,91.5
Error,89401,13,Successful,19.2,96.3,,
Pass,89401,13,Successful,36.6,92.1,34.8,98.4
Pass,89401,13,Successful,39.2,93.6,53.8,98
Pass,89401,13,Successful,73.1,27.1,75.7,5.2
Pass,89401,13,Successful,54.3,85.9,49,97.4
Pass,89401,13,Successful,39.9,70.9,39.9,23
Pass,89401,13,Successful,35.7,98.1,29.7,94.2
Pass,89401,13,Successful,33.5,98.4,33.5,85.3
Pass,89401,13,Successful,58.0,66.6,71.1,98.6
Pass,89401,13,Successful,61.5,69.6,53.1,41.3
Pass,89401,13,Successful,71.7,92.1,71.7,98.1
Pass,89401,13,Successful,53.2,98.7,42.2,95.7
Pass,89401,13,Successful,65.7,85.4,80.9,98.3
BallTouch,89401,13,Successful,71.4,95.7,,
Pass,89401,13,Successful,31.1,68.5,44.9,61.5
Pass,89401,13,Successful,46.5,59.1,46.5,27.7
Pass,89401,13,Successful,54.3,86.6,58.8,98.4
Pass,89401,13,Successful,49.6,87.7,52.6,68.4
Pass,89401,13,Successful,50.0,91.9,70.6,98.4
Pass,89401,13,Unsuccessful,73.0,94.1,92.3,55.4
Pass,89401,13,Successful,31.8,47.5,33.7,40.7
Pass,89401,13,Successful,41.3,61.4,52,97.7
Pass,89401,13,Successful,45.3,71.5,39.9,30
Pass,89401,13,Successful,55.0,75.9,64.1,75.7
Pass,89401,13,Successful,56.6,92.3,51.3,71.4
Pass,89401,13,Successful,56.9,88.6,70.4,98
Pass,89401,13,Successful,52.2,90.6,46.4,60.6
Pass,89401,13,Successful,42.3,89.3,36.1,58.2
Pass,89401,13,Unsuccessful,58.5,86.1,52.7,71.1
Pass,89401,13,Successful,41.5,95.0,37.7,75
BallTouch,89401,13,Successful,1.2,64.2,,
Pass,89401,13,Successful,20.6,74.8,34.4,58.2
Pass,89401,13,Successful,21.6,93.6,11.9,55.8
Pass,89401,13,Successful,35.7,93.6,35.7,98.7
Pass,89401,13,Successful,30.6,90.8,18.7,51.3
Pass,89401,13,Successful,60.2,72.9,54.2,57.5
Pass,89401,13,Successful,3.5,90.9,22.3,90.8
Pass,89401,13,Successful,52.8,57.6,52.9,35.2
Pass,89401,13,Successful,64.6,23.0,65.6,17.3
Pass,89401,13,Unsuccessful,63.9,65.7,73,77.8
Pass,89401,13,Unsuccessful,20.3,65.5,29.1,40
Pass,89401,13,Successful,67.9,62.3,82.4,97.5
Pass,89401,13,Successful,54.2,43.9,88.8,96.2
Pass,89401,13,Successful,50.0,67.8,42.2,33.2
Pass,89401,13,Successful,60.4,64.2,65.7,13.7
BallTouch,89401,13,Successful,89.1,95.0,,
Pass,89401,13,Successful,59.0,94.4,64.3,79.9
Pass,89401,13,Successful,43.2,100.0,36,86.6
Pass,89401,13,Successful,28.1,89.3,34.1,94.8
Pass,89401,13,Successful,42.4,71.1,38,58.2
Pass,89401,13,Successful,36.5,38.9,40.7,24.3
Pass,89401,13,Successful,54.4,46.0,54.4,5.9
Pass,89401,13,Successful,65.1,38.8,70.8,3.8
Pass,89401,13,Successful,72.0,34.2,72.1,57.6
Pass,89401,13,Successful,79.3,67.5,98.7,5.6
Pass,89401,13,Successful,44.6,56.4,40.6,8.9
Pass,89401,13,Successful,47.8,63.3,77.5,83.6
Pass,89401,13,Unsuccessful,72.9,65.4,100,7
Pass,89401,13,Successful,78.5,83.5,76.5,97.2
Pass,89401,13,Successful,87.1,97.1,88.4,98.3
Pass,89401,13,Unsuccessful,70.6,60.2,78.9,49.7
Pass,89401,13,Successful,22.7,50.0,13.1,20.9
Pass,89401,13,Successful,38.7,41.9,43.2,3.4
Pass,89401,13,Unsuccessful,53.6,41.9,93.7,46.7
Pass,89401,13,Successful,69.2,59.9,81.9,88.1
Pass,89401,13,Successful,66.0,71.8,66.1,55.5
Pass,89401,13,Successful,40.8,81.2,44.7,62.4
Pass,89401,13,Successful,27.0,83.5,31.7,97.5
Pass,89401,13,Successful,45.3,81.1,54.5,68.2
Pass,89401,13,Unsuccessful,46.3,66.7,70.2,79.4
Pass,89401,13,Successful,59.6,88.0,71.6,95.4
Pass,89401,13,Successful,46.1,62.1,51.2,57.9
Pass,89401,13,Successful,52.0,41.0,59.3,2.9
Pass,89401,13,Unsuccessful,73.1,23.4,99.4,27
Pass,89401,13,Successful,40.6,87.1,53.5,97.2
Pass,89401,13,Unsuccessful,81.8,61.5,82.2,61.2
Pass,89401,13,Successful,68.8,65.5,89.1,80.3
