Event,Player,Team,Outcome,X,Y,endX,endY
Pass,89401,13,Unsuccessful,24.5,57.2,52.5,0
Pass,89401,13,Successful,53.9,34.3,53.4,11.4
Pass,89401,13,Successful,51.8,24.9,38.2,25.9
Pass,89401,13,Unsuccessful,26.9,58.1,33.3,54.2
Pass,89401,13,Successful,46.9,68.2,42.2,44.7
Pass,89401,13,Successful,45.0,44.0,38.4,65.4
Pass,89401,13,Successful,28.9,79.1,33,53.6
Pass,89401,13,Successful,46.9,41.3,42,32.8
Pass,89401,13,Successful,78.9,96.4,61.1,88.2
BallTouch,89401,13,Successful,66.3,96.9,,
Pass,89401,13,Successful,62.4,75.0,80.3,87.6
Pass,89401,13,Successful,77.0,44.3,80.8,24.6
Pass,89401,13,Successful,24.8,7.3,18.8,4.7
Pass,89401,13,Successful,40.5,24.1,54.9,7
BallTouch,89401,13,Unsuccessful,44.6,28.6,,
Pass,89401,13,Successful,25.1,83.0,15.1,6.8
Pass,89401,13,Successful,19.5,56.3,14.6,86.6
Pass,89401,13,Successful,25.3,67.8,19.2,35.7
Pass,89401,13,Unsuccessful,60.1,75.6,70.4,75.4
Pass,89401,13,Successful,58.0,74.8,39.2,62.9
Pass,89401,13,Successful,36.7,9.2,33.3,5
Pass,89401,13,Successful,56.1,74.5,45.5,53
Pass,89401,13,Successful,43.5,35.8,53.5,6.4
Pass,89401,13,Successful,43.6,68.5,38.8,77.6
Pass,89401,13,Successful,53.1,55.2,63.5,92.3
Pass,89401,13,Successful,72.5,69.6,66.4,67.2
Pass,89401,13,Unsuccessful,57.1,72.3,57.1,55.3
Pass,89401,13,Successful,30.5,54.8,28.3,47.2
Pass,89401,13,Successful,37.2,27.4,45.7,26.4
Pass,89401,13,Successful,42.8,36.7,32,44.3
Pass,89401,13,Unsuccessful,32.9,49.7,61.5,100
Pass,89401,13,Successful,54.8,56.3,66.7,33
Pass,89401,13,Successful,42.0,8.9,37,3.4
Pass,89401,13,Unsuccessful,27.3,52.8,35,43.3
Pass,89401,13,Successful,24.2,60.9,24.4,85.4
Pass,89401,13,Successful,41.0,58.3,55,66
BallTouch,89401,13,Successful,46.3,69.9,,
Pass,89401,13,Successful,33.9,36.9,42.7,39.4
Pass,89401,13,Successful,72.0,2.8,78.9,3.2
Pass,89401,13,Successful,51.9,66.4,42.4,73.2
Pass,89401,13,Successful,45.4,78.2,63.5,4.3
Pass,89401,13,Successful,26.9,61.2,21.1,84.7
Pass,89401,13,Unsuccessful,61.2,66.7,69.6,54.5
Pass,89401,13,Successful,43.7,81.8,31.8,81.6
Pass,89401,13,Successful,75.3,19.8,80,4.6
Pass,89401,13,Successful,69.5,26.5,65.5,51.6
Pass,89401,13,Successful,48.1,75.0,43.6,31.8
Pass,89401,13,Successful,61.6,58.1,76.5,88.9
