Event,Player,Team,Outcome,X,Y,endX,endY
Pass,89401,13,Successful,52.7,59.0,51.5,34
Pass,89401,13,Successful,53.7,34.6,51.8,67.2
Pass,89401,13,Unsuccessful,56.3,37.3,77.5,34.9
Pass,89401,13,Successful,43.4,37.9,36.4,27.3
Pass,89401,13,Successful,55.1,35.4,54.9,66
Pass,89401,13,Successful,58.7,60.6,78.5,6.2
Pass,89401,13,Successful,41.1,36.7,46.5,26.8
Pass,89401,13,Successful,39.6,42.1,49.3,32
Pass,89401,13,Successful,63.8,60.9,80.5,77
Pass,89401,13,Successful,49.9,34.0,37,53.1
Pass,89401,13,Successful,51.9,41.6,44.9,30
Pass,89401,13,Successful,45.0,26.0,37.9,25
Pass,89401,13,Successful,61.4,61.8,58.2,40
Pass,89401,13,Successful,59.6,37.3,41.1,11.1
Pass,89401,13,Successful,32.0,64.3,39,83.9
BallTouch,89401,13,Unsuccessful,18.7,55.5,,
Pass,89401,13,Successful,31.9,82.0,41.1,67.6
Pass,89401,13,Successful,47.6,43.5,38.4,35.7
Pass,89401,13,Successful,43.9,62.3,43.7,88.3
Pass,89401,13,Successful,55.5,48.7,67.4,96.2
Pass,89401,13,Successful,69.8,62.9,66,36.1
Pass,89401,13,Successful,57.6,72.1,64.1,65.1
Pass,89401,13,Successful,61.0,68.9,60.6,61.4
Pass,89401,13,Successful,70.6,37.7,73.5,37.6
Pass,89401,13,Successful,45.8,83.6,21.8,69.1
BallTouch,89401,13,Unsuccessful,71.9,40.6,,
Pass,89401,13,Unsuccessful,84.0,81.2,86.5,75.1
Pass,89401,13,Successful,68.2,90.3,56.7,66.6
Pass,89401,13,Successful,61.5,55.8,67.2,40.4
Pass,89401,13,Successful,62.9,47.6,65.1,65.5
Pass,89401,13,Successful,82.2,4.0,79.1,3.7
Pass,89401,13,Successful,19.0,32.1,11.6,43.7
Pass,89401,13,Successful,31.1,53.0,36,37.7
BallTouch,89401,13,Unsuccessful,34.8,75.9,,
Pass,89401,13,Successful,46.0,47.0,55.9,52.1
Pass,89401,13,Successful,55.5,67.0,35.4,66.9
Pass,89401,13,Successful,44.7,54.3,52.3,25.3
Pass,89401,13,Successful,53.4,37.1,60.7,51.8
Pass,89401,13,Successful,61.9,77.0,64.9,94.5
BallTouch,89401,13,Successful,26.0,45.5,,
Pass,89401,13,Successful,61.0,44.8,53.5,46
Pass,89401,13,Unsuccessful,25.2,27.7,44.3,66.4
Pass,89401,13,Successful,52.3,33.3,61.6,36.4
Pass,89401,13,Successful,37.5,37.0,38.3,68.8
Pass,89401,13,Successful,47.3,63.1,45.4,78.1
Pass,89401,13,Successful,77.1,18.5,73.3,4.4
Pass,89401,13,Successful,70.0,56.4,74.5,42.8
Pass,89401,13,Successful,67.1,30.0,69.7,21.6
Pass,89401,13,Successful,46.3,70.9,31.8,63.9
BallTouch,89401,13,Unsuccessful,59.0,16.8,,
BallTouch,89401,13,Unsuccessful,26.1,8.8,,
Pass,89401,13,Successful,24.6,44.2,30,44.5
Pass,89401,13,Successful,16.2,24.6,24.9,15.9
Pass,89401,13,Successful,57.7,6.5,85.4,3.4
Pass,89401,13,Successful,44.9,43.6,54.5,73.2
Pass,89401,13,Successful,54.6,63.5,34.2,72.8
BallTouch,89401,13,Unsuccessful,68.8,36.3,,
Pass,89401,13,Successful,25.2,17.7,38.8,26.8
Pass,89401,13,Successful,24.5,10.0,28.5,21.2
