Event,Player,Team,Outcome,X,Y,endX,endY
Pass,89401,13,Successful,41.7,70.7,35.4,61.4
Pass,89401,13,Successful,65.3,96.5,57.8,92.9
Pass,89401,13,Successful,59.8,86.0,61.1,96.3
Pass,89401,13,Successful,48.7,73.2,36.9,61.8
Pass,89401,13,Successful,46.8,36.1,34.5,33.1
Pass,89401,13,Successful,46.0,28.6,43.8,12.2
Pass,89401,13,Successful,55.9,56.6,54.8,34.3
Pass,89401,13,Successful,39.6,52.8,45.9,54
Pass,89401,13,Successful,15.9,47.5,10.4,69.6
Pass,89401,13,Unsuccessful,52.8,52.6,55.7,45.4
Pass,89401,13,Successful,45.8,54.0,34.3,59.1
Pass,89401,13,Successful,15.2,47.5,3.9,50
Pass,89401,13,Successful,41.4,60.5,43.7,28.9
Pass,89401,13,Successful,61.1,32.8,44.8,26.5
Pass,89401,13,Successful,44.4,63.3,34.8,59.3
Pass,89401,13,Successful,64.3,89.6,55,93.6
Pass,89401,13,Successful,55.2,66.0,53.2,54.8
Pass,89401,13,Successful,37.7,74.3,44,82.7
Pass,89401,13,Successful,37.4,77.6,33.4,84.5
Pass,89401,13,Successful,62.7,89.1,70.4,96.6
Pass,89401,13,Successful,51.0,47.4,55.7,78.3
Pass,89401,13,Successful,54.2,51.8,44.5,31.3
Pass,89401,13,Successful,55.9,52.2,62.2,31.9
Pass,89401,13,Unsuccessful,65.7,29.6,71.9,25.1
Pass,89401,13,Successful,36.0,67.2,44.8,20.8
Pass,89401,13,Successful,63.0,64.7,61.7,39
Pass,89401,13,Unsuccessful,37.7,12.2,54.7,67.2
Pass,89401,13,Unsuccessful,52.2,46.1,63.6,52.5
Pass,89401,13,Unsuccessful,42.5,74.3,43.8,78.9
Pass,89401,13,Successful,24.6,52.2,29.1,90.3
Pass,89401,13,Successful,53.1,56.1,52.6,81.3
Pass,89401,13,Unsuccessful,12.6,46.1,6.9,100
Pass,89401,13,Successful,20.5,93.8,17.4,99
Pass,89401,13,Successful,42.5,75.6,31.6,81.9
BallTouch,89401,13,Successful,28.9,72.9,,
Pass,89401,13,Successful,44.5,39.2,56.6,4.9
Pass,89401,13,Successful,46.0,51.9,34,55.4
Pass,89401,13,Successful,38.7,63.0,42,94.5
Pass,89401,13,Unsuccessful,12.6,60.6,43.8,53.7
Pass,89401,13,Successful,27.8,52.1,6.4,50.9
Pass,89401,13,Unsuccessful,41.1,85.5,57,100
Pass,89401,13,Successful,55.8,69.8,59.8,52.1
Pass,89401,13,Successful,57.0,61.7,46.6,29.9
Pass,89401,13,Successful,61.1,62.4,68.8,66.3
Pass,89401,13,Successful,60.9,60.6,62.1,22.4
Pass,89401,13,Unsuccessful,68.8,61.5,86,65
Pass,89401,13,Successful,69.2,75.2,70.9,73.7
Pass,89401,13,Successful,66.4,53.1,82.2,81.3
Pass,89401,13,Successful,65.7,86.4,56.7,89.9
Pass,89401,13,Successful,73.8,93.2,74.6,70.4
Pass,89401,13,Successful,70.7,74.9,60.5,47.3
Pass,89401,13,Successful,58.5,72.9,52.5,90.6
Pass,89401,13,Successful,24.7,59.3,4.7,49.4
