Event,Player,Team,Outcome,X,Y,endX,endY
Pass,89401,13,Successful,50.0,71.7,32.8,69.9
Pass,89401,13,Successful,75.7,92.3,85.8,97.4
Pass,89401,13,Successful,60.2,67.9,63.8,38.3
Pass,89401,13,Successful,68.3,15.2,68.7,4.6
Pass,89401,13,Successful,55.4,14.4,53,44.9
Pass,89401,13,Successful,66.8,46.4,70.9,66.2
Pass,89401,13,Successful,66.6,49.6,62.9,29.2
Pass,89401,13,Successful,22.2,8.2,17.8,4.1
BallTouch,89401,13,Unsuccessful,60.0,8.5,,
Pass,89401,13,Unsuccessful,49.7,10.4,58.1,14.1
Pass,89401,13,Unsuccessful,29.5,27.4,38.5,27.4
Pass,89401,13,Successful,35.1,83.9,35,92.1
Pass,89401,13,Successful,38.2,67.0,30.5,36.1
Pass,89401,13,Successful,36.2,56.1,46.4,59
Pass,89401,13,Successful,71.4,68.6,84,92.7
Pass,89401,13,Successful,52.8,14.9,38.5,26.8
Pass,89401,13,Successful,13.3,8.2,18.1,4.4
Pass,89401,13,Successful,63.4,66.6,77.2,74.5
Pass,89401,13,Unsuccessful,65.5,69.1,88.2,42.4
Pass,89401,13,Successful,76.2,59.6,85,72.3
Pass,89401,13,Unsuccessful,52.2,96.2,53.5,93.6
Pass,89401,13,Successful,54.2,100.0,38.9,90.9
Pass,89401,13,Successful,35.6,40.4,47.4,51
Pass,89401,13,Successful,56.0,66.8,66.5,31.6
Pass,89401,13,Unsuccessful,54.3,36.9,65.1,32.1
BallTouch,89401,13,Successful,47.9,33.7,,
Pass,89401,13,Unsuccessful,27.7,51.2,31.9,51.2
Pass,89401,13,Unsuccessful,93.8,82.6,89.5,0
Pass,89401,13,Successful,73.0,75.1,72.1,64.8
Pass,89401,13,Successful,61.5,68.5,69.1,84.5
Pass,89401,13,Successful,41.3,87.7,54.6,85.6
Pass,89401,13,Successful,63.9,90.0,71.4,95.7
Pass,89401,13,Successful,27.3,47.5,35.9,41.3
Pass,89401,13,Successful,53.2,73.9,43.3,94.4
Pass,89401,13,Successful,45.0,90.6,28.6,65.4
Pass,89401,13,Successful,63.8,71.5,71.7,65.1
Pass,89401,13,Unsuccessful,99.5,0.5,97.5,53.3
Pass,89401,13,Unsuccessful,76.4,89.6,72.7,91.4
Pass,89401,13,Successful,62.5,79.4,57.6,93.3
Pass,89401,13,Successful,63.8,71.8,60,89.4
Pass,89401,13,Successful,47.3,79.0,54.3,95.6
BallTouch,89401,13,Unsuccessful,66.3,69.0,,
Pass,89401,13,Successful,74.1,44.8,69.4,36.1
Pass,89401,13,Successful,70.9,50.6,80.8,73.2
Pass,89401,13,Successful,26.4,62.0,30.1,49.1
Pass,89401,13,Unsuccessful,43.9,93.3,45.4,89.7
BallTouch,89401,13,Unsuccessful,77.9,92.7,,
Pass,89401,13,Successful,76.8,86.5,65,86.9
