Event,Player,Team,Outcome,X,Y,endX,endY
Pass,89401,13,Successful,27.8,74.4,27.2,93.8
Pass,89401,13,Successful,47.5,49.1,55.8,62
Pass,89401,13,Successful,43.5,65.3,38.1,80.1
Pass,89401,13,Successful,46.1,62.6,43,19.4
Pass,89401,13,Unsuccessful,62.9,40.6,74.9,80.3
Pass,89401,13,Successful,57.5,69.5,65.6,54
Pass,89401,13,Successful,62.7,64.2,46.5,51.3
Pass,89401,13,Successful,37.4,68.9,41.1,95.1
Pass,89401,13,Successful,41.3,73.8,53.4,41.9
Pass,89401,13,Successful,26.2,50.4,21.2,47.3
Pass,89401,13,Successful,56.2,66.8,64.2,96.2
Pass,89401,13,Successful,46.9,72.9,42.2,27.2
Pass,89401,13,Successful,54.9,55.2,68.2,90.5
Pass,89401,13,Unsuccessful,52.9,88.1,60.6,89
Pass,89401,13,Successful,69.1,58.1,79.3,74.9
Pass,89401,13,Successful,81.4,64.8,81.8,83.1
Pass,89401,13,Successful,61.2,66.6,59.6,26.6
Pass,89401,13,Successful,46.5,47.2,45.5,35.9
Pass,89401,13,Unsuccessful,69.7,75.0,79.8,78.8
BallTouch,89401,13,Successful,73.9,72.9,,
Pass,89401,13,Successful,88.0,18.4,87.4,41.5
Pass,89401,13,Successful,89.8,1.3,73.5,10.7
Pass,89401,13,Unsuccessful,78.5,4.1,100,30.7
Pass,89401,13,Successful,40.7,63.9,58.5,95.6
Pass,89401,13,Successful,54.1,69.9,69.3,97.4
Pass,89401,13,Successful,38.8,50.4,33.9,39.4
Pass,89401,13,Successful,42.4,68.3,51.2,60
Pass,89401,13,Successful,51.6,87.3,38,89.1
Pass,89401,13,Successful,34.9,79.1,39.6,50.9
Pass,89401,13,Successful,55.3,11.8,38,16.3
Pass,89401,13,Successful,45.6,70.4,44.1,46
Pass,89401,13,Successful,58.2,36.7,55.5,70.4
Pass,89401,13,Successful,32.8,60.9,26.4,79.2
Pass,89401,13,Successful,30.8,90.2,31.9,98.6
Pass,89401,13,Unsuccessful,33.3,50.4,35.3,53.1
BallTouch,89401,13,Successful,34.0,50.4,,
Pass,89401,13,Successful,38.6,29.9,46.7,3.7
Pass,89401,13,Successful,50.2,27.4,63.2,39.4
Pass,89401,13,Successful,39.8,63.3,35.7,29.6
Pass,89401,13,Successful,71.2,68.9,64.6,45.5
Pass,89401,13,Successful,47.9,70.7,44.1,57.3
Pass,89401,13,Successful,52.1,69.2,57.9,59.3
Pass,89401,13,Successful,41.7,63.3,37.5,26.6
Pass,89401,13,Unsuccessful,24.1,74.8,23.9,100
Pass,89401,13,Successful,38.1,53.6,38.9,24.1
Pass,89401,13,Successful,38.6,70.8,46.6,71.6
Pass,89401,13,Successful,38.9,73.4,30.5,60.9
Pass,89401,13,Successful,56.8,65.6,47.4,80
Pass,89401,13,Successful,57.0,66.8,59.4,55.2
Pass,89401,13,Successful,63.4,57.3,77.4,88.7
Pass,89401,13,Successful,52.1,61.2,60,95.6
Pass,89401,13,Successful,48.4,74.3,48.3,54.9
Pass,89401,13,Successful,47.9,66.6,66.7,96.5
Pass,89401,13,Successful,56.2,70.4,64.5,72.9
Pass,89401,13,Successful,47.1,60.9,39.2,69.8
Pass,89401,13,Successful,48.5,60.5,45.9,31.4
Pass,89401,13,Successful,75.1,49.3,86.4,27.4
Pass,89401,13,Successful,43.2,72.0,60.7,97.4
Pass,89401,13,Successful,73.9,70.1,75.7,83.3
Pass,89401,13,Unsuccessful,67.7,62.4,86.7,0
Pass,89401,13,Successful,62.0,32.5,72.1,28.7
Pass,89401,13,Successful,10.6,67.2,14.4,96.5
Pass,89401,13,Successful,20.7,83.4,15.9,96.5
Pass,89401,13,Successful,9.5,93.0,5.8,97.7
Pass,89401,13,Successful,55.7,71.0,95.4,98.4
Pass,89401,13,Successful,71.2,92.7,46.7,66
Pass,89401,13,Successful,69.8,57.3,70.3,41.5
Pass,89401,13,Successful,44.5,56.7,58.9,32.6
Pass,89401,13,Successful,39.8,58.5,32.4,58.4
Pass,89401,13,Successful,45.5,72.0,63.5,96.9
Pass,89401,13,Successful,55.6,69.6,42.7,65.4
Pass,89401,13,Successful,67.1,94.8,60.3,92.7
Pass,89401,13,Successful,48.2,81.3,40.4,68.1
Pass,89401,13,Successful,34.3,52.4,34.7,39.5
Pass,89401,13,Successful,52.4,67.1,41.4,66.8
Pass,89401,13,Successful,53.2,64.7,68.9,89.9
Pass,89401,13,Successful,46.7,58.2,48.9,40
Pass,89401,13,Successful,36.6,80.4,28.3,91.3
Pass,89401,13,Successful,39.8,73.2,40.2,87.9
Pass,89401,13,Successful,36.6,57.9,55.8,97.4
Pass,89401,13,Successful,18.6,50.9,15.6,76.4
Pass,89401,13,Successful,47.6,40.7,55.8,44.8
Pass,89401,13,Successful,60.0,49.4,61,29.2
Pass,89401,13,Successful,59.9,38.0,57,8.9
Pass,89401,13,Unsuccessful,57.9,63.9,93.3,52.7
Pass,89401,13,Successful,28.5,44.2,36.4,83.1
Pass,89401,13,Successful,46.7,63.9,67,97.4
Pass,89401,13,Successful,62.0,69.6,81.2,7.1
Pass,89401,13,Successful,44.9,74.4,41.3,64.8
Pass,89401,13,Successful,39.8,74.6,44.1,46
Pass,89401,13,Successful,58.6,63.8,69.1,96.5
Pass,89401,13,Successful,62.8,76.5,68.9,37
BallTouch,89401,13,Successful,47.2,13.7,,
Pass,89401,13,Successful,16.6,100.0,7.3,95.7
