Event,Player,Team,Outcome,X,Y,endX,endY
Pass,89401,13,Unsuccessful,33.4,59.6,52.9,57.5
Pass,89401,13,Successful,30.8,58.2,7.5,50
Pass,89401,13,Successful,46.2,56.3,43.3,38.6
Pass,89401,13,Successful,52.3,31.8,42.8,29.1
Pass,89401,13,Successful,62.7,61.5,71.5,51.3
Pass,89401,13,Successful,38.0,52.1,43.1,7.7
Pass,89401,13,Successful,36.4,43.1,29.6,51
Pass,89401,13,Successful,17.9,52.1,17.4,35.4
Pass,89401,13,Successful,26.4,56.3,41.1,98.4
Pass,89401,13,Successful,46.6,24.7,47.8,17.6
Pass,89401,13,Successful,56.5,29.5,75,6.7
Pass,89401,13,Unsuccessful,41.2,62.0,54,51.2
Pass,89401,13,Successful,60.0,93.8,71,98.4
Pass,89401,13,Successful,69.7,76.7,81.9,80.8
Pass,89401,13,Successful,56.8,28.8,62.5,7.6
Pass,89401,13,Successful,41.7,4.0,40.5,22.3
BallTouch,89401,13,Successful,91.4,60.3,,
Pass,89401,13,Successful,41.6,66.0,50.7,55.1
Pass,89401,13,Successful,29.2,95.7,25.5,93.5
Pass,89401,13,Successful,15.4,49.9,21.8,42.1
Pass,89401,13,Successful,60.3,30.7,70.5,32
Pass,89401,13,Unsuccessful,61.8,60.8,67.8,46.1
Pass,89401,13,Successful,39.4,51.8,35.6,28.2
Pass,89401,13,Successful,56.2,33.7,66.2,88.4
Pass,89401,13,Successful,59.9,73.2,72.2,97.8
Pass,89401,13,Successful,27.3,51.6,27.7,80
Pass,89401,13,Successful,44.3,48.7,52.7,48.8
Pass,89401,13,Successful,53.0,75.0,64.1,97.4
Pass,89401,13,Successful,56.7,68.4,62.4,17.3
Pass,89401,13,Unsuccessful,37.1,75.9,52.9,64.8
Pass,89401,13,Successful,42.9,28.3,61.3,49.6
Pass,89401,13,Successful,43.0,60.3,96.3,17.1
Pass,89401,13,Successful,36.9,64.3,35.9,77.3
Pass,89401,13,Successful,48.4,90.9,35,71.2
Pass,89401,13,Successful,34.9,92.9,35.9,88.1
Pass,89401,13,Successful,27.3,71.7,25.1,36.4
Pass,89401,13,Successful,29.2,32.1,29,10.7
Pass,89401,13,Successful,60.5,25.8,74.8,6.4
Pass,89401,13,Successful,74.0,88.3,81.3,82.6
Pass,89401,13,Successful,41.5,25.6,43.5,5.2
Pass,89401,13,Successful,33.6,42.4,61.3,94.8
Pass,89401,13,Successful,53.9,34.5,69.9,2.3
Pass,89401,13,Successful,68.6,23.0,68.4,8
Pass,89401,13,Successful,66.4,29.1,70.8,6.1
Pass,89401,13,Successful,46.9,42.2,58,17.7
Pass,89401,13,Successful,63.0,55.4,82.8,91.7
Pass,89401,13,Successful,19.0,48.7,37,17.4
Pass,89401,13,Successful,63.7,54.2,80,87.7
Pass,89401,13,Successful,34.4,5.5,31.6,1.3
Pass,89401,13,Successful,58.9,64.9,61.5,73.3
Pass,89401,13,Successful,46.2,48.5,72,95.9
Pass,89401,13,Successful,66.2,51.9,80,90
Pass,89401,13,Unsuccessful,46.4,54.6,66,62.3
Pass,89401,13,Unsuccessful,48.3,66.3,66.5,71.5
Pass,89401,13,Successful,58.8,58.8,69.4,83.5
Pass,89401,13,Successful,66.2,78.7,88.8,14.6
Pass,89401,13,Successful,79.5,85.4,84,96
Pass,89401,13,Unsuccessful,57.2,34.8,67.8,20.4
Pass,89401,13,Unsuccessful,70.0,64.8,78.4,11.6
Pass,89401,13,Unsuccessful,32.3,53.0,32.9,21.9
Pass,89401,13,Successful,18.4,73.8,29.1,55.1
Pass,89401,13,Successful,68.3,92.4,79.8,97.4
Pass,89401,13,Successful,74.3,91.4,81.5,86.8
BallTouch,89401,13,Unsuccessful,72.3,64.3,,
Pass,89401,13,Successful,34.4,53.7,36,37.6
Pass,89401,13,Successful,72.5,52.8,88,24.6
BallTouch,89401,13,Successful,31.1,24.4,,
BallTouch,89401,13,Successful,39.0,32.9,,
Pass,89401,13,Successful,52.2,58.4,77.7,4.9
Pass,89401,13,Successful,40.0,41.3,34.2,29.5
Pass,89401,13,Successful,41.2,5.2,51.6,1.9
Pass,89401,13,Successful,39.7,30.9,60.5,9.7
Pass,89401,13,Successful,69.7,45.1,57.1,67.5
