Event,Player,Team,Outcome,X,Y,endX,endY
Pass,89401,13,Successful,28.0,44.5,26.9,83.3
Pass,89401,13,Successful,31.3,62.9,45.2,62.9
Pass,89401,13,Successful,59.3,78.9,56,65.3
Pass,89401,13,Successful,66.1,96.2,70.4,96.8
Pass,89401,13,Successful,21.1,62.7,15.5,91.7
Pass,89401,13,Unsuccessful,33.7,73.6,36.2,64.9
Pass,89401,13,Successful,31.2,90.9,17.1,81.8
Pass,89401,13,Successful,48.0,73.0,46.2,83.5
Pass,89401,13,Successful,41.4,71.4,31.2,65.1
Pass,89401,13,Successful,21.6,49.1,24.5,73.4
Pass,89401,13,Unsuccessful,26.1,67.0,27.1,65.1
Pass,89401,13,Successful,14.4,53.4,9.8,71.5
Pass,89401,13,Successful,17.2,64.5,13.6,89.9
Pass,89401,13,Successful,22.9,38.9,11.6,28.3
Pass,89401,13,Successful,66.0,47.2,91.3,33.8
Pass,89401,13,Successful,28.6,54.2,19.1,81.8
Pass,89401,13,Unsuccessful,52.5,55.8,55.2,47.2
Pass,89401,13,Successful,67.8,37.4,75.9,14
Pass,89401,13,Successful,54.2,73.2,51.8,65.1
Pass,89401,13,Successful,72.1,83.5,75.7,95.4
Pass,89401,13,Successful,66.7,60.0,52.7,44.7
BallTouch,89401,13,Successful,9.0,52.8,,
Pass,89401,13,Successful,52.5,76.4,59,76.7
Pass,89401,13,Unsuccessful,41.5,73.3,45.9,72.9
Pass,89401,13,Successful,26.1,80.6,30.3,89.4
Pass,89401,13,Successful,27.3,76.7,32.3,61.1
Pass,89401,13,Successful,39.7,52.2,53,95.4
Pass,89401,13,Successful,59.2,75.4,59.9,83.2
Pass,89401,13,Successful,62.7,77.3,57,92.3
Pass,89401,13,Successful,45.3,72.8,39.3,79.6
Pass,89401,13,Unsuccessful,13.1,46.0,55.8,49.4
