Event,Player,Team,Outcome,X,Y,endX,endY
Pass,89401,13,Unsuccessful,75.1,25.8,90.8,58.1
Pass,89401,13,Successful,60.9,13.1,68.3,17.4
Pass,89401,13,Successful,46.5,81.1,39.2,65.4
Pass,89401,13,Successful,49.3,75.1,43.9,31.6
Pass,89401,13,Successful,71.7,66.0,89.3,84.4
Pass,89401,13,Successful,78.2,74.8,75,55.4
Pass,89401,13,Successful,53.5,89.7,57.5,80.9
Pass,89401,13,Successful,71.6,37.6,85.2,81.2
Pass,89401,13,Successful,30.8,22.4,31.7,15.3
Pass,89401,13,Successful,44.4,71.4,40.7,34
Pass,89401,13,Successful,56.2,94.5,62.6,98.9
Pass,89401,13,Successful,59.5,91.8,53.3,64
Pass,89401,13,Successful,15.1,45.8,27,43.4
Pass,89401,13,Successful,69.1,27.3,81.1,9.5
Pass,89401,13,Successful,79.3,9.1,77.8,1.7
Pass,89401,13,Successful,74.3,50.1,63.7,55.2
Pass,89401,13,Successful,45.0,42.8,59.3,5.8
Pass,89401,13,Successful,21.9,64.7,24.4,47.4
Pass,89401,13,Successful,54.3,55.4,54,28.5
Pass,89401,13,Unsuccessful,42.5,85.1,56.8,78.7
Pass,89401,13,Successful,23.2,93.3,18.2,98
Pass,89401,13,Successful,44.9,59.3,41.8,28.8
Pass,89401,13,Successful,61.3,69.9,54.2,77.8
Pass,89401,13,Successful,15.9,51.9,25.1,50.1
Pass,89401,13,Successful,64.0,26.8,69.1,5.5
Pass,89401,13,Successful,66.4,21.3,56.2,56.4
Pass,89401,13,Successful,69.9,33.1,86.8,10.6
Pass,89401,13,Successful,52.0,86.9,47.7,73.8
Pass,89401,13,Successful,42.3,81.1,23.8,59.4
Pass,89401,13,Successful,36.5,52.4,36.4,25.2
Pass,89401,13,Successful,69.2,71.2,80.3,96.5
Pass,89401,13,Successful,58.0,84.4,54.5,43.4
Pass,89401,13,Successful,46.7,95.4,46.6,81.2
Pass,89401,13,Successful,59.1,97.8,69.2,80.5
Pass,89401,13,Unsuccessful,77.8,90.9,86.2,31.6
Pass,89401,13,Successful,35.7,97.2,26.2,75.7
Pass,89401,13,Successful,17.4,76.4,23.1,68.4
Pass,89401,13,Successful,56.4,94.2,54,74.5
Pass,89401,13,Successful,75.6,25.6,86.4,15.3
Pass,89401,13,Unsuccessful,36.0,30.6,49.2,65.4
Pass,89401,13,Successful,64.7,17.4,66.3,34.3
Pass,89401,13,Successful,46.8,21.5,45.9,37.3
Pass,89401,13,Successful,42.8,36.6,47.3,74.8
Pass,89401,13,Successful,61.9,37.4,75.4,10.9
Pass,89401,13,Unsuccessful,64.3,28.3,77.8,88.4
Pass,89401,13,Successful,37.7,43.1,25.3,54.8
Pass,89401,13,Successful,36.3,27.1,54.5,5.2
