Event,Player,Team,Outcome,X,Y,endX,endY
Pass,89401,13,Successful,33.5,36.5,25.1,52.4
Pass,89401,13,Successful,40.0,69.0,31.7,52.7
Pass,89401,13,Successful,30.6,76.9,37.8,72.6
Pass,89401,13,Successful,33.2,35.9,29.1,20.4
Pass,89401,13,Successful,37.8,68.7,44.1,65.8
Pass,89401,13,Successful,48.0,51.8,48.1,18.8
Pass,89401,13,Successful,45.4,65.8,42.6,78.4
Pass,89401,13,Successful,53.6,75.6,46,81.7
Pass,89401,13,Successful,57.7,85.0,75.2,93
Pass,89401,13,Successful,10.3,90.1,14.8,95.4
Pass,89401,13,Successful,4.5,83.8,2.7,59.3
Pass,89401,13,Unsuccessful,59.8,71.4,61.3,76.3
Pass,89401,13,Successful,14.7,84.4,14,92.6
Pass,89401,13,Successful,46.0,76.0,34.4,41
Pass,89401,13,Successful,61.8,76.7,61.8,64.8
Pass,89401,13,Successful,46.0,61.1,56.1,35.7
Pass,89401,13,Successful,45.4,70.8,37.6,56.4
Pass,89401,13,Successful,37.1,58.7,34.4,82
Pass,89401,13,Successful,30.6,63.4,43.6,70.9
Pass,89401,13,Successful,33.4,66.1,40.6,70.6
Pass,89401,13,Successful,35.7,65.8,34.3,54.5
Pass,89401,13,Successful,58.1,95.1,53.2,73.9
Pass,89401,13,Successful,30.4,64.2,39.7,62.1
Pass,89401,13,Successful,32.5,95.0,25.3,87.7
Pass,89401,13,Unsuccessful,31.5,47.0,36.1,46
Pass,89401,13,Successful,68.1,66.6,68.3,61.1
Pass,89401,13,Successful,34.2,83.9,25.3,79
Pass,89401,13,Successful,52.9,30.9,60.6,30.3
Pass,89401,13,Successful,53.8,34.9,60.8,66.3
Pass,89401,13,Successful,60.7,61.5,67.2,66.1
Pass,89401,13,Successful,71.4,65.1,65.1,52.4
Pass,89401,13,Successful,68.3,54.5,54.3,53.9
Pass,89401,13,Successful,69.9,59.7,68.3,42.5
Pass,89401,13,Unsuccessful,36.8,45.8,54.5,36.4
Pass,89401,13,Successful,44.9,60.6,60.4,19.1
Pass,89401,13,Successful,69.6,72.9,76.1,97.7
Pass,89401,13,Successful,37.8,46.9,43.1,29.2
Pass,89401,13,Unsuccessful,66.3,71.5,76.9,100
Pass,89401,13,Successful,12.5,87.4,4.3,56.7
Pass,89401,13,Successful,41.9,66.1,40,56.3
Pass,89401,13,Successful,34.5,68.5,13.2,55.1
Pass,89401,13,Successful,53.5,38.2,57.4,34.9
Pass,89401,13,Successful,25.2,65.5,26,24
Pass,89401,13,Successful,41.4,70.8,37.6,65.8
Pass,89401,13,Successful,45.6,65.1,55.1,84.2
Pass,89401,13,Successful,36.5,36.7,41.9,11.7
Pass,89401,13,Successful,29.9,35.5,19.1,36.3
Pass,89401,13,Successful,45.9,53.7,54.2,35.8
Pass,89401,13,Successful,37.7,57.8,55.2,46.4
Pass,89401,13,Successful,52.3,57.3,66.5,75.8
Pass,89401,13,Successful,58.4,61.4,52.3,64
Pass,89401,13,Successful,62.7,35.2,75.3,4.6
Pass,89401,13,Unsuccessful,78.1,58.8,85.8,62.3
Pass,89401,13,Successful,18.3,50.3,27.8,28.8
Pass,89401,13,Successful,28.1,76.0,32.8,89.9
Pass,89401,13,Successful,58.4,64.2,70.3,9.7
BallTouch,89401,13,Successful,39.0,62.9,,
Pass,89401,13,Successful,63.5,48.4,68.2,34
Pass,89401,13,Successful,37.7,25.5,34.2,40.4
Pass,89401,13,Successful,23.5,15.5,22.5,8.2
Pass,89401,13,Successful,27.9,31.3,37.6,68.5
Pass,89401,13,Successful,67.9,36.4,64.1,18.5
BallTouch,89401,13,Unsuccessful,53.6,92.6,,
