Event,Player,Team,Outcome,X,Y,endX,endY
BallTouch,89401,13,Successful,29.7,10.3,,
Pass,89401,13,Unsuccessful,40.8,66.7,52.3,66.9
Pass,89401,13,Successful,57.4,87.8,41.3,78.7
Pass,89401,13,Successful,61.4,66.0,77.3,95.7
Pass,89401,13,Successful,66.0,85.9,76.1,96.9
Pass,89401,13,Successful,59.3,93.8,48.7,48.8
Pass,89401,13,Successful,60.5,37.3,68.5,5
Pass,89401,13,Successful,45.9,82.9,41.6,62.4
Pass,89401,13,Unsuccessful,58.3,76.6,62.4,68.8
Pass,89401,13,Successful,42.0,74.7,58.3,95.6
Pass,89401,13,Successful,43.4,82.1,42,62.4
Pass,89401,13,Successful,55.9,73.8,66.6,93.8
Pass,89401,13,Unsuccessful,41.4,69.0,89.2,45.4
Pass,89401,13,Successful,20.8,40.6,5.2,40.6
Pass,89401,13,Successful,31.5,69.0,50.1,65.3
Pass,89401,13,Successful,42.3,92.9,45.1,85.9
Pass,89401,13,Successful,46.0,83.0,58.3,98.6
Pass,89401,13,Successful,60.6,85.6,69.6,97.8
Pass,89401,13,Successful,60.8,84.7,46,73.3
Pass,89401,13,Successful,54.9,86.5,45.9,67.8
Pass,89401,13,Successful,47.8,62.1,53.5,41.5
Pass,89401,13,Successful,61.9,54.5,57.8,64.2
Pass,89401,13,Successful,67.2,33.1,69.1,11.6
Pass,89401,13,Successful,53.0,34.5,46.3,27.7
Pass,89401,13,Successful,55.0,46.9,55,63.4
Pass,89401,13,Successful,53.6,45.8,58.8,23.1
Pass,89401,13,Successful,22.7,72.3,47.2,60.8
Pass,89401,13,Successful,65.6,59.0,73.2,34
Pass,89401,13,Successful,23.3,51.8,16.3,17.1
Pass,89401,13,Successful,35.4,3.4,42.1,7.1
Pass,89401,13,Successful,38.3,44.3,32.5,47.6
Pass,89401,13,Successful,46.2,48.5,55.5,66.9
Pass,89401,13,Unsuccessful,76.0,46.4,76.3,46.6
Pass,89401,13,Successful,31.7,56.4,30.1,24
Pass,89401,13,Unsuccessful,73.5,81.7,86.2,50.3
Pass,89401,13,Successful,61.9,63.0,70.8,89
Pass,89401,13,Successful,52.7,86.8,43.8,86.6
Pass,89401,13,Successful,38.9,55.2,33.3,38
Pass,89401,13,Successful,32.9,62.1,24.6,58.7
Pass,89401,13,Successful,29.1,41.2,36.3,48.1
Pass,89401,13,Successful,57.7,67.0,52.9,42.4
Pass,89401,13,Unsuccessful,53.2,74.4,61.9,69
Pass,89401,13,Successful,25.0,37.6,22.3,22.4
Pass,89401,13,Successful,47.4,54.9,59.4,93.5
Pass,89401,13,Successful,46.1,55.5,42.3,82.1
Pass,89401,13,Successful,51.0,50.9,58.7,47.9
Pass,89401,13,Unsuccessful,66.4,74.4,85.1,55.4
Pass,89401,13,Successful,47.4,69.6,51.7,42.4
BallTouch,89401,13,Unsuccessful,92.9,64.3,,
Pass,89401,13,Successful,33.2,45.4,37.1,74.1
Pass,89401,13,Unsuccessful,70.0,62.9,79.9,31.6
Pass,89401,13,Successful,64.7,28.2,62.7,34.6
Pass,89401,13,Successful,37.8,26.8,48,10.9
Pass,89401,13,Successful,45.7,5.5,74.9,4.9
Pass,89401,13,Unsuccessful,19.1,35.2,32,58.1
