Event,Player,Team,Outcome,X,Y,endX,endY
Pass,89401,13,Successful,42.4,48.7,37.7,36.5
Pass,89401,13,Successful,65.6,86.5,80.9,97.7
Pass,89401,13,Unsuccessful,67.5,29.7,75.1,75.4
Pass,89401,13,Successful,27.8,65.5,22.8,60.8
Pass,89401,13,Successful,36.7,84.4,32.5,67
Pass,89401,13,Successful,17.9,88.9,23,82.7
Pass,89401,13,Successful,37.9,75.2,53.3,97.7
Pass,89401,13,Successful,38.4,87.7,34.7,67
Pass,89401,13,Successful,32.0,39.5,19.6,35.4
Pass,89401,13,Successful,39.7,64.7,40,39
Pass,89401,13,Successful,23.1,64.3,27.8,61.2
Pass,89401,13,Successful,63.7,20.9,72.7,3.7
Pass,89401,13,Successful,75.6,28.2,73.3,37.6
Pass,89401,13,Successful,31.8,37.0,31.6,22.7
Pass,89401,13,Successful,72.5,72.8,79.6,87
Pass,89401,13,Successful,72.6,91.4,70.5,70.2
Pass,89401,13,Successful,68.0,74.4,70.4,48.8
Pass,89401,13,Successful,43.2,38.9,35.2,55.8
Pass,89401,13,Successful,77.5,61.4,73.2,33
Pass,89401,13,Successful,48.6,36.4,36.1,52.1
Pass,89401,13,Successful,51.9,40.0,67.7,4.1
Pass,89401,13,Successful,70.9,11.7,78.5,4
Pass,89401,13,Successful,66.7,14.6,68.6,27.9
Pass,89401,13,Successful,58.9,19.8,77.3,3.1
BallTouch,89401,13,Successful,35.8,21.5,,
Pass,89401,13,Successful,46.9,59.3,74.9,10.6
Pass,89401,13,Unsuccessful,33.5,47.0,93.8,25.2
Pass,89401,13,Successful,46.9,39.8,63.7,27.1
Pass,89401,13,Unsuccessful,45.2,3.8,62.3,17.8
Pass,89401,13,Successful,37.0,27.1,51.9,2.3
Pass,89401,13,Successful,71.9,63.4,72.7,37.4
Pass,89401,13,Successful,70.4,59.6,68.8,30.1
Pass,89401,13,Successful,62.0,69.0,54.2,43.9
Pass,89401,13,Successful,65.1,64.8,66.3,72
Pass,89401,13,Successful,53.1,26.2,49,49.3
Pass,89401,13,Successful,41.0,61.5,83.4,83.2
Pass,89401,13,Successful,30.3,53.7,26.9,59.3
Pass,89401,13,Successful,67.5,71.5,96.5,25
Pass,89401,13,Successful,74.9,6.5,78.5,2
Pass,89401,13,Successful,29.1,47.6,52.7,2.9
Pass,89401,13,Successful,39.4,12.0,33.7,69.1
Pass,89401,13,Successful,58.2,6.8,52.5,23.1
Pass,89401,13,Unsuccessful,47.2,53.4,65.8,59.1
Pass,89401,13,Successful,83.2,6.0,78.2,27
Pass,89401,13,Successful,22.1,23.1,27,30.7
Pass,89401,13,Successful,33.8,12.0,40.9,4
Pass,89401,13,Successful,28.1,29.5,21.6,29.5
Pass,89401,13,Successful,55.3,14.7,66.4,2.6
Pass,89401,13,Successful,59.1,28.2,57.1,50
Pass,89401,13,Successful,67.4,53.9,74.5,59.7
Pass,89401,13,Successful,53.8,41.9,55.8,68
BallTouch,89401,13,Successful,65.2,85.7,,
Pass,89401,13,Successful,40.2,28.6,40.1,41.8
Pass,89401,13,Successful,68.5,69.4,86.8,86.9
Pass,89401,13,Successful,46.3,45.8,42.2,61.8
Pass,89401,13,Successful,32.9,70.9,44.6,40.4
Pass,89401,13,Successful,47.5,31.5,63.6,6.1
Pass,89401,13,Successful,42.1,64.6,74.3,2.8
