Event,Player,Team,Outcome,X,Y,endX,endY
Pass,89401,13,Successful,32.9,69.1,53,61.8
Pass,89401,13,Unsuccessful,48.2,68.7,86.5,28
BallTouch,89401,13,Successful,24.5,31.8,,
Pass,89401,13,Successful,36.3,73.2,36.3,80.2
Pass,89401,13,Successful,35.3,58.8,35,29.5
Pass,89401,13,Unsuccessful,54.6,32.2,82.2,25.9
Pass,89401,13,Successful,62.5,58.2,70.7,93.5
Pass,89401,13,Successful,58.1,36.0,44.5,70.2
Pass,89401,13,Successful,30.8,44.6,17.4,64.8
Pass,89401,13,Unsuccessful,54.5,68.7,60.4,82.9
Pass,89401,13,Successful,44.4,72.0,59.8,69.2
Pass,89401,13,Successful,64.6,53.9,76.1,92.1
Pass,89401,13,Successful,51.6,49.3,46,29.4
Pass,89401,13,Successful,46.4,31.8,42.4,64.2
Pass,89401,13,Successful,69.6,44.6,99.4,9.8
Pass,89401,13,Successful,43.2,26.2,30.6,48.2
Pass,89401,13,Unsuccessful,34.7,85.7,39.8,94.7
Pass,89401,13,Successful,42.0,50.4,39.6,12.7
Pass,89401,13,Successful,55.9,65.5,56.3,94.8
Pass,89401,13,Successful,63.3,77.6,85.2,20.6
Pass,89401,13,Successful,53.9,77.5,46.8,96.6
Pass,89401,13,Successful,46.1,75.1,44.8,80.6
Pass,89401,13,Unsuccessful,11.6,63.9,39.3,94.4
Pass,89401,13,Successful,49.4,63.9,65.5,9.2
Pass,89401,13,Successful,71.0,45.1,85.6,94.1
Pass,89401,13,Successful,53.5,40.3,46,42.2
Pass,89401,13,Successful,73.9,97.7,82.3,98.6
Pass,89401,13,Successful,67.8,95.4,72.3,75.3
Pass,89401,13,Successful,55.7,73.9,46.9,62.9
Pass,89401,13,Successful,27.7,72.1,9.8,58.1
Pass,89401,13,Unsuccessful,3.5,58.5,58.7,89.4
Pass,89401,13,Successful,22.3,33.9,27.7,77.9
BallTouch,89401,13,Successful,53.3,33.1,,
Pass,89401,13,Successful,46.2,28.5,50.2,20.5
Pass,89401,13,Successful,31.6,70.6,60.1,98.9
Pass,89401,13,Successful,51.0,47.6,47.9,36.1
Pass,89401,13,Successful,55.5,88.7,63.3,98.3
Pass,89401,13,Successful,48.0,90.6,35.4,62
Pass,89401,13,Successful,20.5,52.1,31.4,96.8
Pass,89401,13,Successful,25.4,41.9,17.7,78.7
Pass,89401,13,Unsuccessful,46.4,45.5,65.5,52.4
Pass,89401,13,Successful,40.8,38.0,52.7,27.9
Pass,89401,13,Successful,66.3,51.2,69.5,62.7
Pass,89401,13,Successful,68.1,84.7,64.7,65.7
Pass,89401,13,Successful,94.3,34.5,94.1,42.4
Pass,89401,13,Unsuccessful,92.8,36.1,86.8,48.2
Pass,89401,13,Successful,64.2,100.0,65.2,85.1
Pass,89401,13,Successful,50.2,97.2,74.7,7.9
