Event,Player,Team,Outcome,X,Y,endX,endY
Pass,89401,13,Successful,27.3,41.5,22.2,50.6
Pass,89401,13,Successful,33.0,50.9,38.5,71.1
Pass,89401,13,Unsuccessful,92.1,31.3,89.6,20.4
Pass,89401,13,Successful,23.0,45.7,15,11.4
Pass,89401,13,Successful,55.0,82.7,46.2,69.6
Pass,89401,13,Successful,61.3,80.2,67.4,99.2
Pass,89401,13,Successful,56.5,93.8,44.9,67.8
Pass,89401,13,Successful,46.1,74.4,51.9,88.9
Pass,89401,13,Successful,38.0,87.7,46.5,93
Pass,89401,13,Successful,39.6,82.4,28.5,82.3
Pass,89401,13,Successful,36.0,57.0,53.9,95.9
Pass,89401,13,Successful,51.1,59.9,48,38
Pass,89401,13,Successful,39.4,34.0,44.8,72.1
Pass,89401,13,Successful,61.3,92.3,66.3,95.1
Pass,89401,13,Successful,26.6,55.4,32.5,91.5
Pass,89401,13,Successful,33.8,68.7,47.3,32.4
Pass,89401,13,Successful,30.0,50.9,39.2,42.5
Pass,89401,13,Unsuccessful,73.9,63.4,80.8,45.7
Pass,89401,13,Successful,21.8,37.3,7,37.6
Pass,89401,13,Successful,42.6,26.8,44,5.3
Pass,89401,13,Successful,63.7,39.7,70.9,56
Pass,89401,13,Successful,33.9,56.0,31.5,24.4
Pass,89401,13,Successful,35.9,47.3,43.7,26.1
Pass,89401,13,Unsuccessful,29.7,39.4,31.1,41.5
Pass,89401,13,Successful,45.6,66.0,69.1,95.6
Pass,89401,13,Successful,52.8,91.7,64.8,97.1
Pass,89401,13,Successful,45.7,42.2,51.9,8.2
Pass,89401,13,Successful,53.0,32.7,45.9,60.8
Pass,89401,13,Successful,24.9,92.4,26.5,99.6
Pass,89401,13,Successful,42.6,35.7,43.8,24.3
Pass,89401,13,Successful,46.6,59.3,62.8,97.7
Pass,89401,13,Unsuccessful,24.3,50.7,41.1,42.1
Pass,89401,13,Unsuccessful,50.6,72.4,57.4,63.1
Pass,89401,13,Successful,46.8,73.8,63.3,81.1
Pass,89401,13,Successful,48.5,39.1,57.4,70.2
Pass,89401,13,Successful,55.0,55.2,63.3,44
Pass,89401,13,Successful,30.4,30.1,19.2,34.3
Pass,89401,13,Successful,42.3,71.1,33.5,29.7
Pass,89401,13,Successful,37.4,55.1,44.8,87.7
Pass,89401,13,Successful,38.1,60.6,46.1,12.6
Pass,89401,13,Successful,31.3,35.2,8.8,44.2
Pass,89401,13,Successful,46.6,60.3,57.1,93.2
Pass,89401,13,Successful,45.4,82.3,34.5,61.8
Pass,89401,13,Successful,42.4,82.0,42.4,68.2
Pass,89401,13,Successful,61.0,33.4,76.8,33.6
BallTouch,89401,13,Successful,95.5,63.9,,
Pass,89401,13,Successful,34.9,52.4,46.9,29.7
Pass,89401,13,Successful,30.1,40.3,37,4
Pass,89401,13,Successful,64.2,17.3,56.4,11.9
Pass,89401,13,Successful,52.2,45.5,37.6,50.7
Pass,89401,13,Unsuccessful,42.9,83.6,43.9,83.5
BallTouch,89401,13,Successful,43.6,84.2,,
Pass,89401,13,Successful,34.0,96.8,26.1,84.7
Pass,89401,13,Successful,50.9,31.5,45.7,5.9
Pass,89401,13,Successful,33.2,53.0,40.8,89.6
Pass,89401,13,Unsuccessful,45.8,69.4,64.4,22.8
Pass,89401,13,Unsuccessful,41.7,44.8,87.9,100
Pass,89401,13,Successful,66.3,63.6,75.1,59
Pass,89401,13,Successful,32.8,23.6,40.4,16.7
Pass,89401,13,Successful,28.3,42.2,17.6,57.3
Pass,89401,13,Successful,32.0,64.6,32,49.6
Pass,89401,13,Unsuccessful,33.2,67.3,42.9,88.4
Pass,89401,13,Successful,28.6,33.9,20.3,5.5
