Event,Player,Team,Outcome,X,Y,endX,endY
Pass,89401,13,Successful,11.6,32.4,4.3,22.8
Pass,89401,13,Successful,28.0,81.5,23.5,95.3
Pass,89401,13,Successful,29.5,44.3,23,78.1
Pass,89401,13,Unsuccessful,33.7,92.0,40.8,95.1
Pass,89401,13,Successful,39.6,61.4,26.1,29.7
Pass,89401,13,Successful,29.0,51.0,43,97.8
Pass,89401,13,Successful,24.1,65.5,16.5,88
Pass,89401,13,Unsuccessful,32.7,56.4,81,0
Pass,89401,13,Successful,29.0,41.2,7.5,47.8
Pass,89401,13,Unsuccessful,26.8,66.7,81.8,94.4
Pass,89401,13,Successful,72.1,91.4,67.6,72
Pass,89401,13,Successful,67.2,72.0,97,22.7
Pass,89401,13,Successful,66.0,16.8,60.5,49.1
Pass,89401,13,Successful,70.9,92.6,78.6,99.3
Pass,89401,13,Successful,62.4,95.4,39.7,89.9
Pass,89401,13,Unsuccessful,52.5,67.6,60.6,73.5
Pass,89401,13,Successful,44.1,63.0,63,91.5
Pass,89401,13,Unsuccessful,76.9,5.9,80.2,15.5
Pass,89401,13,Successful,22.9,18.4,8.8,11.6
Pass,89401,13,Successful,19.9,37.7,7.2,44.3
Pass,89401,13,Successful,35.9,30.0,30.2,47.3
Pass,89401,13,Successful,53.8,53.7,54.1,11.3
Pass,89401,13,Successful,29.1,66.9,34.4,85
Pass,89401,13,Successful,32.1,24.1,40.5,8.6
Pass,89401,13,Successful,39.0,66.6,41.2,92
Pass,89401,13,Successful,36.0,62.6,45.7,44.2
Pass,89401,13,Successful,32.6,80.6,31,55.4
Pass,89401,13,Successful,37.6,56.5,30.1,24.2
Pass,89401,13,Successful,60.4,74.1,73.6,95.4
Pass,89401,13,Successful,53.5,83.5,34.2,73.2
Pass,89401,13,Successful,44.9,54.3,59.8,34.6
Pass,89401,13,Successful,68.7,39.1,63.2,21.3
Pass,89401,13,Successful,11.5,83.8,21.1,94.5
Pass,89401,13,Unsuccessful,97.6,33.4,89.7,43
Pass,89401,13,Successful,39.5,67.8,44.8,98.3
Pass,89401,13,Successful,41.3,72.3,39.2,60.2
Pass,89401,13,Successful,46.4,22.2,42.3,67.5
Pass,89401,13,Successful,14.4,51.5,23.2,32.1
Pass,89401,13,Successful,28.6,57.2,34.4,93.9
Pass,89401,13,Successful,26.6,67.9,37.5,97.4
Pass,89401,13,Successful,43.4,87.2,45.7,72.9
Pass,89401,13,Successful,63.9,24.4,73,22.7
Pass,89401,13,Successful,68.3,89.7,75,84.4
Pass,89401,13,Unsuccessful,61.7,68.8,62.7,68.8
Pass,89401,13,Successful,43.3,84.8,57.9,84.8
Pass,89401,13,Successful,38.1,69.0,33.7,52.2
Pass,89401,13,Successful,28.3,77.3,28.3,92.3
Pass,89401,13,Successful,26.3,73.5,23.8,39.4
Pass,89401,13,Successful,44.5,29.7,44.6,12.5
Pass,89401,13,Successful,54.1,47.2,60.1,71.7
Pass,89401,13,Successful,63.9,24.7,59.5,7.9
Pass,89401,13,Successful,40.1,7.9,45.7,23.4
Pass,89401,13,Successful,46.7,31.0,67.6,97.4
Pass,89401,13,Successful,48.4,65.5,54.2,90.6
Pass,89401,13,Unsuccessful,75.0,34.5,91.9,53
Pass,89401,13,Successful,70.0,25.5,77.5,36
Pass,89401,13,Successful,67.1,3.1,47.7,70.5
Pass,89401,13,Successful,58.1,27.7,65.9,6.5
BallTouch,89401,13,Successful,69.5,41.3,,
Pass,89401,13,Successful,53.8,41.5,61.3,87.1
Pass,89401,13,Successful,62.2,54.9,67.1,7.7
Pass,89401,13,Successful,30.0,32.4,23.3,32.4
Pass,89401,13,Successful,28.0,48.1,26.6,66
Pass,89401,13,Successful,12.6,38.8,30.6,16.8
Pass,89401,13,Successful,34.5,48.5,27.8,32.4
Pass,89401,13,Successful,59.0,70.3,38.8,74.5
Pass,89401,13,Successful,25.1,85.3,25.2,96.5
Pass,89401,13,Successful,22.7,70.3,12,58.4
Pass,89401,13,Successful,66.1,23.4,63.1,80.2
Pass,89401,13,Successful,54.3,51.0,65.2,48.5
Pass,89401,13,Unsuccessful,67.1,30.0,72.7,33.7
Pass,89401,13,Successful,68.2,18.6,77.3,2
Pass,89401,13,Successful,87.4,7.9,86.4,0.8
Pass,89401,13,Successful,89.3,10.1,87,15
Pass,89401,13,Successful,18.3,47.6,30.5,55.6
