Event,Player,Team,Outcome,X,Y,endX,endY
Pass,89401,13,Successful,42.2,93.0,32.7,71.4
Pass,89401,13,Successful,33.7,66.1,26.7,58.7
Pass,89401,13,Successful,58.0,33.0,63.5,28.6
Pass,89401,13,Successful,60.2,34.0,43.9,43.3
Pass,89401,13,Unsuccessful,58.9,96.0,63.3,94.8
Pass,89401,13,Successful,33.9,53.6,46.9,98.6
BallTouch,89401,13,Successful,92.6,49.3,,
Pass,89401,13,Successful,89.8,45.1,92.7,38.5
Pass,89401,13,Successful,44.3,60.8,64.3,98.1
Pass,89401,13,Successful,72.9,96.6,78.3,98.6
Pass,89401,13,Successful,72.0,100.0,46,91.4
Pass,89401,13,Successful,72.3,89.3,73.5,97.1
Pass,89401,13,Successful,37.5,92.4,31.6,98.4
Pass,89401,13,Successful,34.4,87.2,26.7,96
Pass,89401,13,Successful,36.5,62.3,60.2,74.5
Pass,89401,13,Successful,70.1,98.4,72.9,93.6
Pass,89401,13,Successful,54.2,45.7,28.3,34.3
Pass,89401,13,Unsuccessful,38.9,61.7,85.1,35.8
Pass,89401,13,Successful,66.0,56.4,65.3,70.9
Pass,89401,13,Unsuccessful,42.6,53.6,41.2,17.6
Pass,89401,13,Successful,31.3,16.4,36,5.6
BallTouch,89401,13,Successful,12.3,33.4,,
Pass,89401,13,Successful,32.6,15.8,35.8,8.8
Pass,89401,13,Unsuccessful,35.0,41.9,41.8,7.1
BallTouch,89401,13,Successful,7.7,81.7,,
Pass,89401,13,Unsuccessful,14.4,84.5,27.2,96.3
Pass,89401,13,Unsuccessful,77.2,95.1,86.7,58.5
Pass,89401,13,Successful,52.6,59.7,52.6,83
Pass,89401,13,Successful,54.9,60.6,78.6,6.7
Pass,89401,13,Successful,69.6,48.5,82.5,85.6
Pass,89401,13,Successful,38.9,55.8,59.6,50.4
Pass,89401,13,Successful,64.1,53.7,74.8,50.9
Pass,89401,13,Successful,46.2,36.3,59.8,91.7
Pass,89401,13,Successful,57.7,92.7,59.9,63.9
BallTouch,89401,13,Successful,23.8,56.9,,
BallTouch,89401,13,Successful,27.4,66.1,,
Pass,89401,13,Unsuccessful,15.4,81.2,55.6,81.5
Pass,89401,13,Unsuccessful,38.4,68.2,48.8,61.5
Pass,89401,13,Successful,39.1,38.6,57.6,2
Pass,89401,13,Successful,31.7,40.7,55.2,1.9
Pass,89401,13,Successful,68.5,23.3,75.8,45.2
