formation,number,playerid
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[26, 2, 15, 3, 23, 16, 25, 34, 30, 7, 14, 1, 4, 17, 24, 28, 31, 32, 47, 54]","[102248, 125211, 255169, 297403, 27586, 288795, 125209, 89401, 345845, 367185, 44120, 92173, 361822, 69945, 342564, 342563, 110260, 363686, 367184, 389352]"
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[26, 17, 15, 3, 23, 16, 25, 34, 30, 7, 14, 1, 4, 2, 24, 28, 31, 32, 47, 54]","[102248, 69945, 255169, 297403, 27586, 288795, 125209, 89401, 345845, 367185, 44120, 92173, 361822, 125211, 342564, 342563, 110260, 363686, 367184, 389352]"
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[26, 17, 15, 3, 23, 16, 25, 34, 30, 28, 14, 1, 4, 2, 24, 7, 31, 32, 47, 54]","[102248, 69945, 255169, 297403, 27586, 288795, 125209, 89401, 345845, 342563, 44120, 92173, 361822, 125211, 342564, 367185, 110260, 363686, 367184, 389352]"
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[26, 17, 15, 3, 23, 16, 25, 34, 24, 28, 14, 1, 4, 2, 30, 7, 31, 32, 47, 54]","[102248, 69945, 255169, 297403, 27586, 288795, 125209, 89401, 342564, 342563, 44120, 92173, 361822, 125211, 345845, 367185, 110260, 363686, 367184, 389352]"
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[26, 17, 15, 31, 23, 16, 25, 34, 24, 28, 14, 1, 4, 2, 30, 7, 3, 32, 47, 54]","[102248, 69945, 255169, 110260, 27586, 288795, 125209, 89401, 342564, 342563, 44120, 92173, 361822, 125211, 345845, 367185, 297403, 363686, 367184, 389352]"
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 76, 26, 3, 12, 4, 5, 7, 9, 11, 10, 8, 13, 16, 17, 18, 21, 24, 67, 89]","[114147, 386969, 115726, 115916, 136451, 95408, 33568, 4511, 96182, 108226, 109915, 243510, 73399, 244779, 355354, 262838, 301455, 336285, 363982, 386970]"
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0]","[1, 12, 26, 8, 3, 4, 10, 5, 9, 11, 18, 13, 16, 17, 21, 24, 67, 89]","[114147, 136451, 115726, 243510, 115916, 95408, 109915, 33568, 96182, 108226, 262838, 73399, 244779, 355354, 301455, 336285, 363982, 386970]"
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0]","[1, 12, 26, 8, 3, 4, 10, 5, 17, 11, 18, 13, 16, 9, 21, 24, 67, 89]","[114147, 136451, 115726, 243510, 115916, 95408, 109915, 33568, 355354, 108226, 262838, 73399, 244779, 96182, 301455, 336285, 363982, 386970]"
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0]","[1, 12, 26, 8, 3, 4, 10, 5, 11, 17, 18, 13, 16, 21, 24, 67, 89]","[114147, 136451, 115726, 243510, 115916, 95408, 109915, 33568, 108226, 355354, 262838, 73399, 244779, 301455, 336285, 363982, 386970]"
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0]","[1, 12, 26, 8, 3, 4, 24, 17, 11, 18, 10, 13, 16, 21, 67, 89]","[114147, 136451, 115726, 243510, 115916, 95408, 336285, 355354, 108226, 262838, 109915, 73399, 244779, 301455, 363982, 386970]"
